,precision,recall,f1-score,support,Classifier
G1,0.765625,0.875,0.8166666666666667,112.0,KNN
G2/M,0.90625,0.8787878787878788,0.8923076923076922,33.0,KNN
Late G1,1.0,0.24,0.3870967741935484,25.0,KNN
M/Early G1,0.7307692307692307,0.7307692307692307,0.7307692307692306,26.0,KNN
Neural G0,0.8478260869565217,0.7959183673469388,0.8210526315789473,49.0,KNN
S,0.6086956521739131,0.7368421052631579,0.6666666666666666,19.0,KNN
S/G2,0.8461538461538461,0.9166666666666666,0.8799999999999999,36.0,KNN
G1,0.7272727272727273,0.9369369369369369,0.8188976377952756,111.0,KNN
G2/M,0.9428571428571428,0.8461538461538461,0.8918918918918919,39.0,KNN
Late G1,0.8333333333333334,0.3125,0.45454545454545453,16.0,KNN
M/Early G1,0.7894736842105263,0.5769230769230769,0.6666666666666666,26.0,KNN
Neural G0,0.9354838709677419,0.6444444444444445,0.763157894736842,45.0,KNN
S,0.8260869565217391,0.76,0.7916666666666667,25.0,KNN
S/G2,0.7674418604651163,0.868421052631579,0.8148148148148148,38.0,KNN
G1,0.7368421052631579,0.8828828828828829,0.8032786885245902,111.0,KNN
G2/M,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,KNN
Late G1,1.0,0.2857142857142857,0.4444444444444445,21.0,KNN
M/Early G1,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0,KNN
Neural G0,0.8333333333333334,0.7547169811320755,0.7920792079207922,53.0,KNN
S,0.7894736842105263,0.7142857142857143,0.7500000000000001,21.0,KNN
S/G2,0.8108108108108109,0.8823529411764706,0.8450704225352113,34.0,KNN
G1,0.7142857142857143,0.875,0.7865168539325842,120.0,KNN
G2/M,0.9411764705882353,0.8888888888888888,0.9142857142857143,36.0,KNN
Late G1,1.0,0.2777777777777778,0.4347826086956522,18.0,KNN
M/Early G1,0.7368421052631579,0.7777777777777778,0.7567567567567567,18.0,KNN
Neural G0,0.868421052631579,0.6346153846153846,0.7333333333333333,52.0,KNN
S,0.6470588235294118,0.5238095238095238,0.5789473684210527,21.0,KNN
S/G2,0.775,0.8857142857142857,0.8266666666666667,35.0,KNN
G1,0.7664233576642335,0.860655737704918,0.8108108108108109,122.0,KNN
G2/M,0.8571428571428571,0.9230769230769231,0.888888888888889,26.0,KNN
Late G1,1.0,0.08695652173913043,0.16,23.0,KNN
M/Early G1,0.6785714285714286,0.8260869565217391,0.7450980392156864,23.0,KNN
Neural G0,0.8043478260869565,0.6981132075471698,0.7474747474747474,53.0,KNN
S,0.5,0.631578947368421,0.5581395348837209,19.0,KNN
S/G2,0.7714285714285715,0.7941176470588235,0.782608695652174,34.0,KNN
G1,0.7443609022556391,0.868421052631579,0.8016194331983805,114.0,KNN
G2/M,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0,KNN
Late G1,1.0,0.18181818181818182,0.3076923076923077,22.0,KNN
M/Early G1,0.9032258064516129,0.7567567567567568,0.823529411764706,37.0,KNN
Neural G0,0.8222222222222222,0.7115384615384616,0.7628865979381444,52.0,KNN
S,0.631578947368421,0.631578947368421,0.631578947368421,19.0,KNN
S/G2,0.7027027027027027,0.896551724137931,0.787878787878788,29.0,KNN
G1,0.7071428571428572,0.868421052631579,0.7795275590551183,114.0,KNN
G2/M,0.8157894736842105,0.8857142857142857,0.8493150684931505,35.0,KNN
Late G1,1.0,0.21052631578947367,0.34782608695652173,19.0,KNN
M/Early G1,0.8095238095238095,0.8095238095238095,0.8095238095238095,21.0,KNN
Neural G0,0.8717948717948718,0.7083333333333334,0.7816091954022988,48.0,KNN
S,0.5625,0.4090909090909091,0.47368421052631576,22.0,KNN
S/G2,0.8333333333333334,0.8536585365853658,0.8433734939759037,41.0,KNN
G1,0.7163120567375887,0.8938053097345132,0.7952755905511812,113.0,KNN
G2/M,0.8947368421052632,0.8947368421052632,0.8947368421052632,38.0,KNN
Late G1,1.0,0.043478260869565216,0.08333333333333333,23.0,KNN
M/Early G1,0.7727272727272727,0.6538461538461539,0.7083333333333333,26.0,KNN
Neural G0,0.8636363636363636,0.7037037037037037,0.7755102040816326,54.0,KNN
S,0.5714285714285714,0.5714285714285714,0.5714285714285714,21.0,KNN
S/G2,0.7272727272727273,0.96,0.8275862068965517,25.0,KNN
G1,0.7132352941176471,0.8584070796460177,0.7791164658634538,113.0,KNN
G2/M,0.7,0.7777777777777778,0.7368421052631577,27.0,KNN
Late G1,0.6666666666666666,0.11764705882352941,0.2,17.0,KNN
M/Early G1,0.64,0.64,0.64,25.0,KNN
Neural G0,0.8695652173913043,0.6557377049180327,0.7476635514018691,61.0,KNN
S,0.8095238095238095,0.68,0.7391304347826089,25.0,KNN
S/G2,0.7692307692307693,0.9375,0.8450704225352113,32.0,KNN
G1,0.7686567164179104,0.8306451612903226,0.7984496124031009,124.0,KNN
G2/M,0.875,0.8484848484848485,0.8615384615384615,33.0,KNN
Late G1,1.0,0.2727272727272727,0.42857142857142855,22.0,KNN
M/Early G1,0.6666666666666666,0.7619047619047619,0.7111111111111111,21.0,KNN
Neural G0,0.7954545454545454,0.7142857142857143,0.7526881720430106,49.0,KNN
S,0.45,0.4090909090909091,0.4285714285714286,22.0,KNN
S/G2,0.7,0.9655172413793104,0.8115942028985508,29.0,KNN
