,precision,recall,f1-score,support,Classifier
G1,0.7162162162162162,0.9464285714285714,0.8153846153846154,112.0,RFpy
G2/M,0.8823529411764706,0.9090909090909091,0.8955223880597014,33.0,RFpy
Late G1,1.0,0.16,0.2758620689655173,25.0,RFpy
M/Early G1,0.7391304347826086,0.6538461538461539,0.693877551020408,26.0,RFpy
Neural G0,0.9459459459459459,0.7142857142857143,0.813953488372093,49.0,RFpy
S,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0,RFpy
S/G2,0.8461538461538461,0.9166666666666666,0.8799999999999999,36.0,RFpy
G1,0.7162162162162162,0.954954954954955,0.8185328185328186,111.0,RFpy
G2/M,0.9714285714285714,0.8717948717948718,0.9189189189189189,39.0,RFpy
Late G1,1.0,0.1875,0.3157894736842105,16.0,RFpy
M/Early G1,0.8181818181818182,0.6923076923076923,0.7500000000000001,26.0,RFpy
Neural G0,0.8823529411764706,0.6666666666666666,0.7594936708860759,45.0,RFpy
S,0.9090909090909091,0.4,0.5555555555555556,25.0,RFpy
S/G2,0.7659574468085106,0.9473684210526315,0.8470588235294116,38.0,RFpy
G1,0.7214285714285714,0.9099099099099099,0.8047808764940239,111.0,RFpy
G2/M,0.8125,0.8666666666666667,0.8387096774193549,30.0,RFpy
Late G1,1.0,0.19047619047619047,0.32,21.0,RFpy
M/Early G1,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0,RFpy
Neural G0,0.7735849056603774,0.7735849056603774,0.7735849056603775,53.0,RFpy
S,0.9090909090909091,0.47619047619047616,0.6249999999999999,21.0,RFpy
S/G2,0.8611111111111112,0.9117647058823529,0.8857142857142858,34.0,RFpy
G1,0.68125,0.9083333333333333,0.7785714285714286,120.0,RFpy
G2/M,0.9696969696969697,0.8888888888888888,0.927536231884058,36.0,RFpy
Late G1,1.0,0.16666666666666666,0.2857142857142857,18.0,RFpy
M/Early G1,0.6428571428571429,0.5,0.5625000000000001,18.0,RFpy
Neural G0,0.9393939393939394,0.5961538461538461,0.7294117647058823,52.0,RFpy
S,0.6428571428571429,0.42857142857142855,0.5142857142857143,21.0,RFpy
S/G2,0.7674418604651163,0.9428571428571428,0.8461538461538461,35.0,RFpy
G1,0.7432432432432432,0.9016393442622951,0.8148148148148148,122.0,RFpy
G2/M,0.8214285714285714,0.8846153846153846,0.8518518518518519,26.0,RFpy
Late G1,1.0,0.17391304347826086,0.29629629629629634,23.0,RFpy
M/Early G1,0.7391304347826086,0.7391304347826086,0.7391304347826085,23.0,RFpy
Neural G0,0.8571428571428571,0.6792452830188679,0.7578947368421052,53.0,RFpy
S,0.6428571428571429,0.47368421052631576,0.5454545454545454,19.0,RFpy
S/G2,0.7804878048780488,0.9411764705882353,0.8533333333333334,34.0,RFpy
G1,0.7241379310344828,0.9210526315789473,0.8108108108108109,114.0,RFpy
G2/M,0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0,RFpy
Late G1,1.0,0.09090909090909091,0.16666666666666669,22.0,RFpy
M/Early G1,0.9333333333333333,0.7567567567567568,0.835820895522388,37.0,RFpy
Neural G0,0.8837209302325582,0.7307692307692307,0.8,52.0,RFpy
S,0.6666666666666666,0.42105263157894735,0.5161290322580646,19.0,RFpy
S/G2,0.7,0.9655172413793104,0.8115942028985508,29.0,RFpy
G1,0.6776315789473685,0.9035087719298246,0.7744360902255639,114.0,RFpy
G2/M,0.8787878787878788,0.8285714285714286,0.8529411764705883,35.0,RFpy
Late G1,1.0,0.21052631578947367,0.34782608695652173,19.0,RFpy
M/Early G1,0.8888888888888888,0.7619047619047619,0.8205128205128205,21.0,RFpy
Neural G0,0.9333333333333333,0.5833333333333334,0.7179487179487181,48.0,RFpy
S,0.75,0.4090909090909091,0.5294117647058824,22.0,RFpy
S/G2,0.7450980392156863,0.926829268292683,0.8260869565217392,41.0,RFpy
G1,0.6815286624203821,0.9469026548672567,0.7925925925925925,113.0,RFpy
G2/M,0.8918918918918919,0.868421052631579,0.88,38.0,RFpy
Late G1,1.0,0.08695652173913043,0.16,23.0,RFpy
M/Early G1,0.7777777777777778,0.5384615384615384,0.6363636363636364,26.0,RFpy
Neural G0,0.925,0.6851851851851852,0.7872340425531915,54.0,RFpy
S,0.6153846153846154,0.38095238095238093,0.47058823529411764,21.0,RFpy
S/G2,0.696969696969697,0.92,0.793103448275862,25.0,RFpy
G1,0.7132867132867133,0.9026548672566371,0.796875,113.0,RFpy
G2/M,0.7666666666666667,0.8518518518518519,0.8070175438596491,27.0,RFpy
Late G1,0.0,0.0,0.0,17.0,RFpy
M/Early G1,0.8333333333333334,0.8,0.816326530612245,25.0,RFpy
Neural G0,0.8723404255319149,0.6721311475409836,0.7592592592592592,61.0,RFpy
S,0.8823529411764706,0.6,0.7142857142857143,25.0,RFpy
S/G2,0.7948717948717948,0.96875,0.8732394366197183,32.0,RFpy
G1,0.7181208053691275,0.8629032258064516,0.7838827838827839,124.0,RFpy
G2/M,0.8787878787878788,0.8787878787878788,0.8787878787878788,33.0,RFpy
Late G1,1.0,0.22727272727272727,0.37037037037037035,22.0,RFpy
M/Early G1,0.7727272727272727,0.8095238095238095,0.7906976744186046,21.0,RFpy
Neural G0,0.8292682926829268,0.6938775510204082,0.7555555555555555,49.0,RFpy
S,0.5454545454545454,0.2727272727272727,0.3636363636363636,22.0,RFpy
S/G2,0.6923076923076923,0.9310344827586207,0.7941176470588235,29.0,RFpy
