,precision,recall,f1-score,support,Classifier
G1,0.9428571428571428,0.5892857142857143,0.7252747252747254,112.0,SVMrej
G2/M,1.0,0.6666666666666666,0.8,33.0,SVMrej
Late G1,1.0,0.32,0.48484848484848486,25.0,SVMrej
M/Early G1,0.8333333333333334,0.19230769230769232,0.3125,26.0,SVMrej
Neural G0,1.0,0.4897959183673469,0.6575342465753424,49.0,SVMrej
S,1.0,0.10526315789473684,0.1904761904761905,19.0,SVMrej
S/G2,0.9166666666666666,0.3055555555555556,0.4583333333333333,36.0,SVMrej
G1,0.8888888888888888,0.6486486486486487,0.75,111.0,SVMrej
G2/M,1.0,0.6410256410256411,0.7812500000000001,39.0,SVMrej
Late G1,1.0,0.125,0.2222222222222222,16.0,SVMrej
M/Early G1,1.0,0.2692307692307692,0.42424242424242425,26.0,SVMrej
Neural G0,1.0,0.5333333333333333,0.6956521739130436,45.0,SVMrej
S,1.0,0.16,0.2758620689655173,25.0,SVMrej
S/G2,0.8636363636363636,0.5,0.6333333333333333,38.0,SVMrej
G1,0.9066666666666666,0.6126126126126126,0.7311827956989246,111.0,SVMrej
G2/M,1.0,0.5666666666666667,0.7234042553191489,30.0,SVMrej
Late G1,1.0,0.23809523809523808,0.3846153846153846,21.0,SVMrej
M/Early G1,0.9230769230769231,0.4,0.5581395348837209,30.0,SVMrej
Neural G0,0.9354838709677419,0.5471698113207547,0.6904761904761905,53.0,SVMrej
S,1.0,0.047619047619047616,0.0909090909090909,21.0,SVMrej
S/G2,0.9166666666666666,0.3235294117647059,0.4782608695652174,34.0,SVMrej
G1,0.8837209302325582,0.6333333333333333,0.7378640776699028,120.0,SVMrej
G2/M,1.0,0.7777777777777778,0.8750000000000001,36.0,SVMrej
Late G1,0.8333333333333334,0.2777777777777778,0.4166666666666667,18.0,SVMrej
M/Early G1,0.7142857142857143,0.2777777777777778,0.4,18.0,SVMrej
Neural G0,1.0,0.46153846153846156,0.631578947368421,52.0,SVMrej
S,1.0,0.2857142857142857,0.4444444444444445,21.0,SVMrej
S/G2,1.0,0.34285714285714286,0.5106382978723404,35.0,SVMrej
G1,0.925,0.6065573770491803,0.7326732673267327,122.0,SVMrej
G2/M,1.0,0.6153846153846154,0.761904761904762,26.0,SVMrej
Late G1,1.0,0.13043478260869565,0.23076923076923078,23.0,SVMrej
M/Early G1,0.875,0.30434782608695654,0.4516129032258065,23.0,SVMrej
Neural G0,1.0,0.4339622641509434,0.6052631578947368,53.0,SVMrej
S,1.0,0.15789473684210525,0.2727272727272727,19.0,SVMrej
S/G2,0.8125,0.38235294117647056,0.52,34.0,SVMrej
G1,0.9333333333333333,0.6140350877192983,0.7407407407407409,114.0,SVMrej
G2/M,1.0,0.5925925925925926,0.7441860465116279,27.0,SVMrej
Late G1,1.0,0.2727272727272727,0.42857142857142855,22.0,SVMrej
M/Early G1,1.0,0.40540540540540543,0.5769230769230769,37.0,SVMrej
Neural G0,0.9285714285714286,0.5,0.65,52.0,SVMrej
S,0.5,0.05263157894736842,0.09523809523809525,19.0,SVMrej
S/G2,0.9333333333333333,0.4827586206896552,0.6363636363636364,29.0,SVMrej
G1,0.8837209302325582,0.6666666666666666,0.7599999999999999,114.0,SVMrej
G2/M,0.9166666666666666,0.6285714285714286,0.7457627118644068,35.0,SVMrej
Late G1,1.0,0.21052631578947367,0.34782608695652173,19.0,SVMrej
M/Early G1,1.0,0.23809523809523808,0.3846153846153846,21.0,SVMrej
Neural G0,0.9545454545454546,0.4375,0.6,48.0,SVMrej
S,0.5,0.045454545454545456,0.08333333333333334,22.0,SVMrej
S/G2,1.0,0.5121951219512195,0.6774193548387097,41.0,SVMrej
G1,0.8863636363636364,0.6902654867256637,0.7761194029850745,113.0,SVMrej
G2/M,0.9615384615384616,0.6578947368421053,0.78125,38.0,SVMrej
Late G1,0.8,0.17391304347826086,0.2857142857142857,23.0,SVMrej
M/Early G1,0.8571428571428571,0.23076923076923078,0.36363636363636365,26.0,SVMrej
Neural G0,1.0,0.24074074074074073,0.3880597014925373,54.0,SVMrej
S,1.0,0.19047619047619047,0.32,21.0,SVMrej
S/G2,0.9166666666666666,0.44,0.5945945945945945,25.0,SVMrej
G1,0.8674698795180723,0.6371681415929203,0.7346938775510204,113.0,SVMrej
G2/M,0.8888888888888888,0.5925925925925926,0.711111111111111,27.0,SVMrej
Late G1,1.0,0.11764705882352941,0.21052631578947367,17.0,SVMrej
M/Early G1,1.0,0.24,0.3870967741935484,25.0,SVMrej
Neural G0,1.0,0.5081967213114754,0.673913043478261,61.0,SVMrej
S,1.0,0.24,0.3870967741935484,25.0,SVMrej
S/G2,0.8571428571428571,0.375,0.5217391304347825,32.0,SVMrej
G1,0.9066666666666666,0.5483870967741935,0.6834170854271355,124.0,SVMrej
G2/M,0.9047619047619048,0.5757575757575758,0.7037037037037038,33.0,SVMrej
Late G1,1.0,0.22727272727272727,0.37037037037037035,22.0,SVMrej
M/Early G1,1.0,0.3333333333333333,0.5,21.0,SVMrej
Neural G0,0.9583333333333334,0.46938775510204084,0.6301369863013699,49.0,SVMrej
S,1.0,0.045454545454545456,0.08695652173913045,22.0,SVMrej
S/G2,0.8666666666666667,0.4482758620689655,0.5909090909090909,29.0,SVMrej
