,precision,recall,f1-score,support,Classifier
G1,0.9734513274336283,0.9821428571428571,0.9777777777777777,112.0,ccAFv2
G2/M,0.9428571428571428,1.0,0.9705882352941176,33.0,ccAFv2
Late G1,1.0,0.96,0.9795918367346939,25.0,ccAFv2
M/Early G1,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0,ccAFv2
Neural G0,0.9583333333333334,0.9387755102040817,0.9484536082474228,49.0,ccAFv2
S,1.0,1.0,1.0,19.0,ccAFv2
S/G2,1.0,0.9722222222222222,0.9859154929577464,36.0,ccAFv2
G1,0.9553571428571429,0.963963963963964,0.9596412556053813,111.0,ccAFv2
G2/M,1.0,1.0,1.0,39.0,ccAFv2
Late G1,1.0,0.9375,0.967741935483871,16.0,ccAFv2
M/Early G1,0.9259259259259259,1.0,0.9615384615384615,25.0,ccAFv2
Neural G0,0.9772727272727273,0.9555555555555556,0.9662921348314608,45.0,ccAFv2
S,1.0,1.0,1.0,25.0,ccAFv2
S/G2,0.972972972972973,0.9473684210526315,0.9599999999999999,38.0,ccAFv2
G1,0.956140350877193,0.9819819819819819,0.9688888888888889,111.0,ccAFv2
G2/M,1.0,1.0,1.0,30.0,ccAFv2
Late G1,1.0,1.0,1.0,21.0,ccAFv2
M/Early G1,0.967741935483871,1.0,0.9836065573770492,30.0,ccAFv2
Neural G0,0.98,0.9245283018867925,0.9514563106796116,53.0,ccAFv2
S,1.0,1.0,1.0,21.0,ccAFv2
S/G2,1.0,0.9705882352941176,0.9850746268656716,34.0,ccAFv2
G1,0.9512195121951219,0.975,0.9629629629629629,120.0,ccAFv2
G2/M,1.0,1.0,1.0,36.0,ccAFv2
Late G1,0.9473684210526315,1.0,0.972972972972973,18.0,ccAFv2
M/Early G1,1.0,0.9444444444444444,0.9714285714285714,18.0,ccAFv2
Neural G0,0.9803921568627451,0.9615384615384616,0.970873786407767,52.0,ccAFv2
S,0.95,0.9047619047619048,0.9268292682926829,21.0,ccAFv2
S/G2,0.9705882352941176,0.9428571428571428,0.9565217391304348,35.0,ccAFv2
G1,0.9836065573770492,0.9836065573770492,0.9836065573770492,122.0,ccAFv2
G2/M,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0,ccAFv2
Late G1,1.0,0.9565217391304348,0.9777777777777777,23.0,ccAFv2
M/Early G1,1.0,0.9545454545454546,0.9767441860465117,22.0,ccAFv2
Neural G0,0.9811320754716981,0.9811320754716981,0.9811320754716981,53.0,ccAFv2
S,0.9047619047619048,1.0,0.9500000000000001,19.0,ccAFv2
S/G2,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,ccAFv2
G1,0.972972972972973,0.9473684210526315,0.9599999999999999,114.0,ccAFv2
G2/M,0.9642857142857143,1.0,0.9818181818181818,27.0,ccAFv2
Late G1,1.0,0.9545454545454546,0.9767441860465117,22.0,ccAFv2
M/Early G1,0.9487179487179487,1.0,0.9736842105263158,37.0,ccAFv2
Neural G0,0.9272727272727272,0.9807692307692307,0.9532710280373831,52.0,ccAFv2
S,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0,ccAFv2
S/G2,1.0,0.9310344827586207,0.9642857142857143,29.0,ccAFv2
G1,0.9105691056910569,0.9824561403508771,0.9451476793248944,114.0,ccAFv2
G2/M,1.0,1.0,1.0,35.0,ccAFv2
Late G1,1.0,0.9473684210526315,0.972972972972973,19.0,ccAFv2
M/Early G1,0.9473684210526315,0.8571428571428571,0.9,21.0,ccAFv2
Neural G0,0.9545454545454546,0.875,0.9130434782608695,48.0,ccAFv2
S,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,ccAFv2
S/G2,0.9523809523809523,0.975609756097561,0.963855421686747,41.0,ccAFv2
G1,0.9649122807017544,0.9734513274336283,0.9691629955947135,113.0,ccAFv2
G2/M,1.0,0.9736842105263158,0.9866666666666666,38.0,ccAFv2
Late G1,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0,ccAFv2
M/Early G1,0.9230769230769231,0.9230769230769231,0.9230769230769231,26.0,ccAFv2
Neural G0,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0,ccAFv2
S,0.9473684210526315,0.9,0.9230769230769231,20.0,ccAFv2
S/G2,0.9615384615384616,1.0,0.9803921568627451,25.0,ccAFv2
G1,0.9401709401709402,0.9734513274336283,0.9565217391304347,113.0,ccAFv2
G2/M,0.9310344827586207,1.0,0.9642857142857143,27.0,ccAFv2
Late G1,1.0,0.8235294117647058,0.9032258064516129,17.0,ccAFv2
M/Early G1,0.92,0.9583333333333334,0.9387755102040817,24.0,ccAFv2
Neural G0,0.9827586206896551,0.9344262295081968,0.9579831932773109,61.0,ccAFv2
S,1.0,0.92,0.9583333333333334,25.0,ccAFv2
S/G2,0.9393939393939394,0.96875,0.9538461538461539,32.0,ccAFv2
G1,0.9435483870967742,0.9435483870967742,0.9435483870967742,124.0,ccAFv2
G2/M,1.0,0.9696969696969697,0.9846153846153847,33.0,ccAFv2
Late G1,1.0,0.9090909090909091,0.9523809523809523,22.0,ccAFv2
M/Early G1,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0,ccAFv2
Neural G0,0.9583333333333334,0.9387755102040817,0.9484536082474228,49.0,ccAFv2
S,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,ccAFv2
S/G2,0.9333333333333333,0.9655172413793104,0.9491525423728815,29.0,ccAFv2
