"","x"
"1","G2/M"
"2","G1/G0"
"3","G1/G0"
"4","S"
"5","M"
"6","S"
"7","G1/G0"
"8","S"
"9","M"
"10","G1/G0"
"11","G1/G0"
"12","S"
"13","G2/M"
"14","S"
"15","G2/M"
"16","G1/G0"
"17","S"
"18","S"
"19","G2/M"
"20","G2/M"
"21","G2/M"
"22","M"
"23","G1/G0"
"24","G2/M"
"25","G1/G0"
"26","G1/G0"
"27","M"
"28","G2/M"
"29","G2/M"
"30","G2/M"
"31","G1/G0"
"32","G1/G0"
"33","G1/G0"
"34","G2/M"
"35","M"
"36","M"
"37","S"
"38","M"
"39","G2/M"
"40","S"
"41","G1/G0"
"42","G1/G0"
"43","S"
"44","G2/M"
"45","G1/G0"
"46","G1/G0"
"47","S"
"48","M"
"49","M"
"50","G1/G0"
"51","S"
"52","G1/G0"
"53","G2/M"
"54","S"
"55","G2/M"
"56","G1/G0"
"57","G2/M"
"58","S"
"59","G2/M"
"60","G1/G0"
"61","S"
"62","G1/G0"
"63","S"
"64","M"
"65","S"
"66","G2/M"
"67","S"
"68","G1/G0"
"69","G2/M"
"70","G1/G0"
"71","G2/M"
"72","M"
"73","S"
"74","G1/G0"
"75","S"
"76","G1/G0"
"77","G2/M"
"78","G1/G0"
"79","G1/G0"
"80","G1/G0"
"81","G2/M"
"82","G2/M"
"83","S"
"84","G1/G0"
"85","S"
"86","S"
"87","S"
"88","G1/G0"
"89","G1/G0"
"90","G2/M"
"91","G1/G0"
"92","S"
"93","M"
"94","G1/G0"
"95","G1/G0"
"96","G1/G0"
"97","G2/M"
"98","G1/G0"
"99","G1/G0"
"100","G2/M"
"101","S"
"102","G1/G0"
"103","S"
"104","G1/G0"
"105","S"
"106","G1/G0"
"107","S"
"108","G2/M"
"109","G1/G0"
"110","S"
"111","M"
"112","G1/G0"
"113","G1/G0"
"114","S"
"115","S"
"116","S"
"117","G1/G0"
"118","G1/G0"
"119","M"
"120","G1/G0"
"121","G1/G0"
"122","G2/M"
"123","S"
"124","G1/G0"
"125","G2/M"
"126","G2/M"
"127","S"
"128","S"
"129","S"
"130","S"
"131","G1/G0"
"132","G2/M"
"133","G1/G0"
"134","G1/G0"
"135","G2/M"
"136","M"
"137","M"
"138","G1/G0"
"139","G2/M"
"140","G1/G0"
"141","S"
"142","S"
"143","S"
"144","S"
"145","S"
"146","G1/G0"
"147","G1/G0"
"148","G2/M"
"149","G1/G0"
"150","G2/M"
"151","G2/M"
"152","G2/M"
"153","G1/G0"
"154","G1/G0"
"155","S"
"156","G2/M"
"157","G1/G0"
"158","S"
"159","S"
"160","G2/M"
"161","S"
"162","G1/G0"
"163","G1/G0"
"164","G2/M"
"165","S"
"166","S"
"167","G1/G0"
"168","G1/G0"
"169","G2/M"
"170","G2/M"
"171","M"
"172","S"
"173","S"
"174","G1/G0"
"175","G2/M"
"176","G1/G0"
"177","G1/G0"
"178","G1/G0"
"179","S"
"180","G1/G0"
"181","S"
"182","G1/G0"
"183","G1/G0"
"184","G1/G0"
"185","S"
"186","G1/G0"
"187","G2/M"
"188","S"
"189","G1/G0"
"190","G1/G0"
"191","M"
"192","S"
"193","G2/M"
"194","M"
"195","G2/M"
"196","M"
"197","G2/M"
"198","S"
"199","G2/M"
"200","S"
"201","G2/M"
"202","G2/M"
"203","S"
"204","S"
"205","G1/G0"
"206","S"
"207","G2/M"
"208","G1/G0"
"209","G1/G0"
"210","G1/G0"
"211","G2/M"
"212","G2/M"
"213","G1/G0"
"214","G2/M"
"215","S"
"216","S"
"217","G2/M"
"218","G1/G0"
"219","G2/M"
"220","S"
"221","S"
"222","G1/G0"
"223","G1/G0"
"224","S"
"225","S"
"226","G1/G0"
"227","G2/M"
"228","S"
"229","S"
"230","S"
"231","G1/G0"
"232","G1/G0"
"233","S"
"234","G1/G0"
"235","S"
"236","G1/G0"
"237","M"
"238","G1/G0"
"239","M"
"240","G1/G0"
"241","G2/M"
"242","S"
"243","S"
"244","S"
"245","G1/G0"
"246","G1/G0"
"247","G1/G0"
"248","S"
"249","G2/M"
"250","G1/G0"
"251","G2/M"
"252","G2/M"
"253","S"
"254","G2/M"
"255","G1/G0"
"256","G1/G0"
"257","G2/M"
"258","G1/G0"
"259","S"
"260","G1/G0"
"261","S"
"262","G2/M"
"263","M"
"264","S"
"265","G2/M"
"266","G1/G0"
"267","G1/G0"
"268","G2/M"
"269","S"
"270","S"
"271","G1/G0"
"272","M"
"273","G1/G0"
"274","S"
"275","G1/G0"
"276","G2/M"
"277","G1/G0"
"278","G1/G0"
"279","G1/G0"
"280","M"
"281","S"
"282","G1/G0"
"283","G1/G0"
"284","S"
"285","S"
"286","S"
"287","M"
"288","G2/M"
"289","S"
"290","S"
"291","G2/M"
"292","G1/G0"
"293","G2/M"
"294","M"
"295","M"
"296","G2/M"
"297","S"
"298","S"
"299","S"
"300","G1/G0"
"301","S"
"302","M"
"303","G2/M"
"304","S"
"305","G1/G0"
"306","S"
"307","S"
"308","G2/M"
"309","G1/G0"
"310","S"
"311","G1/G0"
"312","G2/M"
"313","G1/G0"
"314","G2/M"
"315","G1/G0"
"316","G1/G0"
"317","S"
"318","G1/G0"
"319","G1/G0"
"320","S"
"321","M"
"322","G2/M"
"323","M"
"324","G1/G0"
"325","G1/G0"
"326","G1/G0"
"327","G1/G0"
"328","M"
"329","G1/G0"
"330","S"
"331","G1/G0"
"332","G2/M"
"333","G2/M"
"334","M"
"335","G2/M"
"336","S"
"337","S"
"338","G2/M"
"339","G1/G0"
"340","G1/G0"
"341","G1/G0"
"342","G2/M"
"343","G1/G0"
"344","G1/G0"
"345","G2/M"
"346","G1/G0"
"347","G1/G0"
"348","G1/G0"
"349","S"
"350","G2/M"
"351","S"
"352","S"
"353","G2/M"
"354","G1/G0"
"355","G1/G0"
"356","S"
"357","G1/G0"
"358","G2/M"
"359","M"
"360","G1/G0"
"361","S"
"362","G1/G0"
"363","S"
"364","G1/G0"
"365","G1/G0"
"366","G2/M"
"367","M"
"368","G2/M"
"369","M"
"370","G1/G0"
"371","G1/G0"
"372","G1/G0"
"373","G2/M"
"374","S"
"375","G1/G0"
"376","M"
"377","M"
"378","G2/M"
"379","G1/G0"
"380","G1/G0"
"381","G2/M"
"382","S"
"383","G2/M"
"384","S"
"385","G2/M"
"386","G1/G0"
"387","G2/M"
"388","S"
"389","S"
"390","S"
"391","S"
"392","S"
"393","G1/G0"
"394","G1/G0"
"395","S"
"396","M"
"397","G1/G0"
"398","G1/G0"
"399","G2/M"
"400","G1/G0"
"401","G2/M"
"402","S"
"403","G1/G0"
"404","S"
"405","G1/G0"
"406","G1/G0"
"407","G1/G0"
"408","G1/G0"
"409","G1/G0"
"410","G1/G0"
"411","S"
"412","S"
"413","S"
"414","S"
"415","S"
"416","G1/G0"
"417","G1/G0"
"418","G1/G0"
"419","G2/M"
"420","G1/G0"
"421","S"
"422","G2/M"
"423","G1/G0"
"424","S"
"425","G1/G0"
"426","G2/M"
"427","G2/M"
"428","G1/G0"
"429","S"
"430","S"
"431","G1/G0"
"432","G1/G0"
"433","G1/G0"
"434","G2/M"
"435","M"
"436","S"
"437","S"
"438","G1/G0"
"439","S"
"440","G2/M"
"441","S"
"442","G2/M"
"443","S"
"444","S"
"445","G2/M"
"446","G1/G0"
"447","G1/G0"
"448","G1/G0"
"449","G2/M"
"450","G2/M"
"451","S"
"452","S"
"453","G1/G0"
"454","G1/G0"
"455","G2/M"
"456","G1/G0"
"457","G1/G0"
"458","G1/G0"
"459","G2/M"
"460","G1/G0"
"461","G2/M"
"462","G2/M"
"463","M"
"464","S"
"465","G1/G0"
"466","G1/G0"
"467","G1/G0"
"468","G1/G0"
"469","G1/G0"
"470","S"
"471","S"
"472","M"
"473","G1/G0"
"474","S"
"475","S"
"476","G1/G0"
"477","S"
"478","G2/M"
"479","G1/G0"
"480","G1/G0"
"481","G1/G0"
"482","G1/G0"
"483","G1/G0"
"484","G1/G0"
"485","G1/G0"
"486","G2/M"
"487","G1/G0"
"488","S"
"489","G1/G0"
"490","S"
"491","G1/G0"
"492","G1/G0"
"493","M"
"494","S"
"495","M"
"496","G1/G0"
"497","G2/M"
"498","G1/G0"
"499","G2/M"
"500","S"
"501","G1/G0"
"502","G2/M"
"503","M"
"504","M"
"505","M"
"506","S"
"507","G1/G0"
"508","G2/M"
"509","S"
"510","M"
"511","S"
"512","G1/G0"
"513","G1/G0"
"514","S"
"515","S"
"516","G1/G0"
"517","G2/M"
"518","S"
"519","G1/G0"
"520","G2/M"
"521","S"
"522","G1/G0"
"523","M"
"524","S"
"525","G1/G0"
"526","G1/G0"
"527","G2/M"
"528","G1/G0"
"529","G1/G0"
"530","G2/M"
"531","G2/M"
"532","G1/G0"
"533","S"
"534","G2/M"
"535","S"
"536","M"
"537","G1/G0"
"538","M"
"539","G1/G0"
"540","G1/G0"
"541","S"
"542","G1/G0"
"543","G2/M"
"544","G1/G0"
"545","S"
"546","G1/G0"
"547","G1/G0"
"548","G1/G0"
"549","S"
"550","G2/M"
"551","G2/M"
"552","M"
"553","G1/G0"
"554","G2/M"
"555","S"
"556","G1/G0"
"557","S"
"558","S"
"559","S"
"560","M"
"561","G2/M"
"562","G2/M"
"563","G1/G0"
"564","G1/G0"
"565","G2/M"
"566","S"
"567","S"
"568","M"
"569","S"
"570","G1/G0"
"571","M"
"572","S"
"573","M"
"574","G1/G0"
"575","G2/M"
"576","G1/G0"
"577","G2/M"
"578","S"
"579","G1/G0"
"580","S"
"581","S"
"582","S"
"583","S"
"584","S"
"585","M"
"586","S"
"587","G2/M"
"588","G1/G0"
"589","G1/G0"
"590","G1/G0"
"591","S"
"592","G1/G0"
"593","G1/G0"
"594","G1/G0"
"595","G2/M"
"596","G1/G0"
"597","S"
"598","M"
"599","M"
"600","G1/G0"
"601","G2/M"
"602","G2/M"
"603","S"
"604","G2/M"
"605","G1/G0"
"606","G1/G0"
"607","S"
"608","S"
"609","G1/G0"
"610","G2/M"
"611","G1/G0"
"612","S"
"613","G1/G0"
"614","S"
"615","S"
"616","S"
"617","G2/M"
"618","S"
"619","G2/M"
"620","G2/M"
"621","G1/G0"
"622","G1/G0"
"623","S"
"624","S"
"625","S"
"626","S"
"627","G1/G0"
"628","G1/G0"
"629","G1/G0"
"630","G1/G0"
"631","G1/G0"
"632","G1/G0"
"633","M"
"634","G1/G0"
"635","G1/G0"
"636","S"
"637","S"
"638","S"
"639","G1/G0"
"640","S"
"641","M"
"642","G2/M"
"643","G2/M"
"644","S"
"645","G1/G0"
"646","M"
"647","G1/G0"
"648","G2/M"
"649","S"
"650","G1/G0"
"651","G1/G0"
"652","S"
"653","S"
"654","G1/G0"
"655","S"
"656","G1/G0"
"657","G1/G0"
"658","G1/G0"
"659","S"
"660","M"
"661","G2/M"
"662","G2/M"
"663","S"
"664","S"
"665","S"
"666","S"
"667","S"
"668","G2/M"
"669","G1/G0"
"670","G2/M"
"671","G1/G0"
"672","S"
"673","M"
"674","S"
"675","G1/G0"
"676","G1/G0"
"677","G2/M"
"678","G1/G0"
"679","G1/G0"
"680","G1/G0"
"681","G1/G0"
"682","G1/G0"
"683","S"
"684","S"
"685","G2/M"
"686","G1/G0"
"687","G2/M"
"688","G1/G0"
"689","G2/M"
"690","G2/M"
"691","G2/M"
"692","M"
"693","G2/M"
"694","S"
"695","S"
"696","S"
"697","S"
"698","G2/M"
"699","G1/G0"
"700","G2/M"
"701","G1/G0"
"702","G1/G0"
"703","S"
"704","G1/G0"
"705","G2/M"
"706","S"
"707","S"
"708","M"
"709","S"
"710","S"
"711","G1/G0"
"712","G2/M"
"713","G2/M"
"714","S"
"715","G1/G0"
"716","G1/G0"
"717","M"
"718","G1/G0"
"719","S"
"720","G1/G0"
"721","G1/G0"
"722","G1/G0"
"723","G1/G0"
"724","M"
"725","G1/G0"
"726","G1/G0"
"727","G1/G0"
"728","S"
"729","G1/G0"
"730","G2/M"
"731","S"
"732","G1/G0"
"733","G1/G0"
"734","G2/M"
"735","S"
"736","M"
"737","S"
"738","G1/G0"
"739","G1/G0"
"740","G1/G0"
"741","G1/G0"
"742","S"
"743","G1/G0"
"744","S"
"745","S"
"746","G1/G0"
"747","G1/G0"
"748","G1/G0"
"749","G1/G0"
"750","S"
"751","S"
"752","S"
"753","G1/G0"
"754","M"
"755","S"
"756","M"
"757","S"
"758","G1/G0"
"759","G1/G0"
"760","G2/M"
"761","G1/G0"
"762","G1/G0"
"763","G1/G0"
"764","G2/M"
"765","S"
"766","G1/G0"
"767","S"
"768","G1/G0"
"769","S"
"770","G1/G0"
"771","G1/G0"
"772","G1/G0"
"773","S"
"774","G1/G0"
"775","M"
"776","G1/G0"
"777","G1/G0"
"778","G1/G0"
"779","M"
"780","G1/G0"
"781","S"
"782","G1/G0"
"783","G2/M"
"784","G1/G0"
"785","G1/G0"
"786","G1/G0"
"787","G2/M"
"788","S"
"789","G1/G0"
"790","G2/M"
"791","G1/G0"
"792","G1/G0"
"793","G1/G0"
"794","S"
"795","S"
"796","G1/G0"
"797","G2/M"
"798","M"
"799","S"
"800","G2/M"
"801","G2/M"
"802","S"
"803","S"
"804","G1/G0"
"805","M"
"806","S"
"807","G1/G0"
"808","S"
"809","G1/G0"
"810","G1/G0"
"811","M"
"812","G1/G0"
"813","S"
"814","G1/G0"
"815","S"
"816","S"
"817","G1/G0"
"818","S"
"819","S"
"820","S"
"821","G1/G0"
"822","G1/G0"
"823","S"
"824","M"
"825","S"
"826","G1/G0"
"827","G1/G0"
"828","G1/G0"
"829","S"
"830","G2/M"
"831","G1/G0"
"832","S"
"833","G1/G0"
"834","G1/G0"
"835","G1/G0"
"836","M"
"837","S"
"838","G2/M"
"839","G1/G0"
"840","S"
"841","G2/M"
"842","G2/M"
"843","S"
"844","G1/G0"
"845","S"
"846","G1/G0"
"847","G1/G0"
"848","G1/G0"
"849","G2/M"
"850","G2/M"
"851","G1/G0"
"852","S"
"853","G2/M"
"854","M"
"855","M"
"856","G1/G0"
"857","G2/M"
"858","S"
"859","G2/M"
"860","G2/M"
"861","G2/M"
"862","G1/G0"
"863","G1/G0"
"864","G2/M"
"865","G1/G0"
"866","M"
"867","M"
"868","G2/M"
"869","S"
"870","G1/G0"
"871","S"
"872","M"
"873","G2/M"
"874","S"
"875","G2/M"
"876","G2/M"
"877","S"
"878","S"
"879","G2/M"
"880","G2/M"
"881","S"
"882","G1/G0"
"883","G1/G0"
"884","S"
"885","G1/G0"
"886","G1/G0"
"887","G1/G0"
"888","M"
"889","G2/M"
"890","S"
"891","M"
"892","G1/G0"
"893","G2/M"
"894","G1/G0"
"895","G1/G0"
"896","S"
"897","G2/M"
"898","G1/G0"
"899","G1/G0"
"900","G1/G0"
"901","G2/M"
"902","G2/M"
"903","G1/G0"
"904","G2/M"
"905","G1/G0"
"906","S"
"907","S"
"908","M"
"909","G2/M"
"910","G1/G0"
"911","M"
"912","G2/M"
"913","G2/M"
"914","G2/M"
"915","S"
"916","G1/G0"
"917","M"
"918","M"
"919","G2/M"
"920","G2/M"
"921","S"
"922","S"
"923","M"
"924","G2/M"
"925","S"
"926","S"
"927","S"
"928","S"
"929","G2/M"
"930","G1/G0"
"931","S"
"932","M"
"933","S"
"934","S"
"935","G1/G0"
"936","G1/G0"
"937","G2/M"
"938","G1/G0"
"939","G1/G0"
"940","G2/M"
"941","S"
"942","G1/G0"
"943","G2/M"
"944","S"
"945","G2/M"
"946","G2/M"
"947","G2/M"
"948","G2/M"
"949","G1/G0"
"950","G1/G0"
"951","G1/G0"
"952","G1/G0"
"953","S"
"954","G1/G0"
"955","G2/M"
"956","G1/G0"
"957","S"
"958","S"
"959","S"
"960","G2/M"
"961","S"
"962","S"
"963","G2/M"
"964","S"
"965","S"
"966","S"
"967","S"
"968","M"
"969","G2/M"
"970","S"
"971","G1/G0"
"972","G1/G0"
"973","G1/G0"
"974","G1/G0"
"975","G1/G0"
"976","S"
"977","G1/G0"
"978","M"
"979","G2/M"
"980","G2/M"
"981","G2/M"
"982","S"
"983","S"
"984","G1/G0"
"985","G1/G0"
"986","G1/G0"
"987","G2/M"
"988","G1/G0"
"989","G2/M"
"990","G2/M"
"991","G2/M"
"992","G1/G0"
"993","G1/G0"
"994","G2/M"
"995","G1/G0"
"996","G1/G0"
"997","G1/G0"
"998","G1/G0"
