"","Phase","recat"
"1","G1","G1"
"2","G1","G1"
"3","G1","G1"
"4","G1","G1"
"5","S","G1"
"6","G1","G1"
"7","G1","G1"
"8","S","G1S"
"9","G2M","M"
"10","G1","G1"
"11","S","G1S"
"12","G2M","M"
"13","S","G1S"
"14","G1","G1"
"15","G1","G1"
"16","S","G1"
"17","S","G1"
"18","G2M","M"
"19","G1","G1"
"20","G2M","G1S"
"21","G1","G1"
"22","G2M","M"
"23","G2M","S"
"24","G2M","G2"
"25","G1","G1"
"26","S","G1S"
"27","S","G1"
"28","G1","G1"
"29","G1","G1"
"30","G2M","M"
"31","S","G1"
"32","G1","G1"
"33","G1","G1"
"34","G2M","G1S"
"35","G1","G1"
"36","G1","G1"
"37","S","G1S"
"38","G1","G1"
"39","S","G1S"
"40","G1","G1"
"41","G1","G1"
"42","G1","G1"
"43","S","G1S"
"44","G1","G1S"
"45","G2M","G1"
"46","S","G1"
"47","G1","G1"
"48","G2M","G2M"
"49","G1","G1"
"50","G1","G1S"
"51","S","G1"
"52","G2M","M"
"53","S","G1S"
"54","G2M","M"
"55","G1","G1"
"56","G1","G1"
"57","G2M","G2M"
"58","G2M","G2M"
"59","S","M"
"60","G1","G1"
"61","S","G1S"
"62","G1","G1"
"63","G1","G1"
"64","G2M","M"
"65","S","G1"
"66","S","G1S"
"67","G1","G1"
"68","S","G1S"
"69","G1","G1"
"70","S","G1"
"71","S","G1"
"72","G2M","G2M"
"73","G1","G1"
"74","S","G1"
"75","G1","G1"
"76","G2M","G2"
"77","G2M","M"
"78","S","G2M"
"79","G2M","G1"
"80","S","G1S"
"81","S","G1"
"82","G1","G1"
"83","S","G1"
"84","G1","G1"
"85","G1","G1"
"86","G2M","M"
"87","G1","G1"
"88","G1","G1"
"89","G1","G1"
"90","G1","G1"
"91","G2M","M"
"92","G1","G1"
"93","G1","G1"
"94","G1","M"
"95","S","G1"
"96","G1","G1"
"97","G2M","M"
"98","G1","G1"
"99","S","G1"
"100","G1","G1"
"101","G1","G1"
"102","G1","G1"
"103","G1","G1"
"104","G2M","M"
"105","S","G1S"
"106","S","G1S"
"107","S","G1S"
"108","G1","G1"
"109","G1","G2M"
"110","G1","G1"
"111","S","G1"
"112","G1","G1"
"113","S","G1S"
"114","G1","G1"
"115","G1","G1"
"116","S","G1S"
"117","G2M","G1"
"118","S","G1"
"119","S","G1"
"120","G2M","M"
"121","G1","G1"
"122","G2M","G2M"
"123","G1","G1"
"124","S","G1S"
"125","G1","G1"
"126","G1","G1"
"127","G2M","M"
"128","G1","G1"
"129","G1","G1"
"130","S","G1S"
"131","G2M","M"
"132","G1","G1"
"133","G1","G1"
"134","S","G1"
"135","G1","G1"
"136","S","G1S"
"137","S","G1"
"138","G1","G1"
"139","G1","G1"
"140","G1","G1"
"141","G1","G1"
"142","S","G1"
"143","S","G1"
"144","S","G1"
"145","G1","G1"
"146","G2M","M"
"147","G1","G1"
"148","S","G1S"
"149","G1","G1"
"150","G1","G1"
"151","S","G1S"
"152","S","G1S"
"153","S","S"
"154","G2M","G2M"
"155","S","G1"
"156","G1","G1"
"157","S","G1"
"158","S","G1"
"159","G1","G1"
"160","G1","G1"
"161","S","G1"
"162","S","G1S"
"163","G1","G1"
"164","G1","G1"
"165","G2M","S"
"166","G1","G1"
"167","G1","G1"
"168","G1","G1"
"169","G1","G1"
"170","G2M","S"
"171","S","G1S"
"172","G2M","G2M"
"173","G1","G1"
"174","G1","G1"
"175","G2M","M"
"176","S","G1S"
"177","G2M","M"
"178","S","G1S"
"179","G2M","G1"
"180","G1","G1"
"181","G1","G1"
"182","G1","G1"
"183","G1","G1"
"184","G2M","G2"
"185","S","G1"
"186","S","G1S"
"187","G1","G1"
"188","G1","G1"
"189","S","G1"
"190","G1","G1"
"191","G1","G1"
"192","G1","G1"
"193","G1","G1"
"194","G1","G1"
"195","G1","G1"
"196","S","G1"
"197","S","G1S"
"198","G1","G1"
"199","G1","G1"
"200","G1","G1"
"201","S","G1"
"202","G1","G1"
"203","S","G1"
"204","G1","G1"
"205","S","G1"
"206","G1","G1"
"207","G1","G1"
"208","S","G1S"
"209","S","G1S"
"210","G1","G1"
"211","S","G1S"
"212","G2M","M"
"213","G1","G1"
"214","G2M","M"
"215","G1","G1"
"216","S","G1"
"217","S","G1"
"218","G2M","M"
"219","G2M","S"
"220","G1","G1"
"221","G1","G1"
"222","G2M","G2M"
"223","G1","G1"
"224","G1","G1"
"225","G1","G1"
"226","G1","G1"
"227","G1","G1"
"228","G1","G1"
"229","G2M","G1S"
"230","G2M","M"
"231","G1","G1"
"232","G1","G1"
"233","G1","G1"
"234","S","G1"
"235","S","G1S"
"236","S","G1"
"237","S","G1S"
"238","G2M","G1S"
"239","G1","G1"
"240","G1","G1"
"241","G1","G1"
"242","G2M","M"
"243","G1","G1"
"244","S","G1"
"245","G1","G1S"
"246","G2M","M"
"247","G1","G1"
"248","G1","G1"
"249","G1","G1"
"250","G1","G1"
"251","G1","G1"
"252","G1","G1"
"253","G1","G1"
"254","G1","G1"
"255","G2M","M"
"256","G1","G1"
"257","G1","G1"
"258","S","G1"
"259","S","G1S"
"260","G1","M"
"261","G2M","M"
"262","S","G1"
"263","S","G1"
"264","G1","G1"
"265","G2M","M"
"266","G1","G1"
"267","G2M","M"
"268","G1","G1"
"269","G1","G1"
"270","G1","G1"
"271","S","G1S"
"272","G1","G1"
"273","G2M","M"
"274","G1","G1"
"275","G1","G1"
"276","S","G1"
"277","G1","G1"
"278","G2M","M"
