"","x"
"1","S"
"2","G1/G0"
"3","G2/M"
"4","M"
"5","S"
"6","G2/M"
"7","G1/G0"
"8","G1/G0"
"9","S"
"10","G1/G0"
"11","S"
"12","S"
"13","G1/G0"
"14","S"
"15","S"
"16","G2/M"
"17","G1/G0"
"18","G2/M"
"19","G2/M"
"20","G1/G0"
"21","S"
"22","G1/G0"
"23","G1/G0"
"24","S"
"25","S"
"26","G1/G0"
"27","G1/G0"
"28","S"
"29","G1/G0"
"30","S"
"31","G2/M"
"32","M"
"33","G2/M"
"34","G1/G0"
"35","G1/G0"
"36","G1/G0"
"37","G1/G0"
"38","S"
"39","G2/M"
"40","G1/G0"
"41","G1/G0"
"42","G1/G0"
"43","G1/G0"
"44","G1/G0"
"45","G1/G0"
"46","M"
"47","G2/M"
"48","G2/M"
"49","G1/G0"
"50","M"
"51","G1/G0"
"52","S"
"53","G1/G0"
"54","G1/G0"
"55","G1/G0"
"56","S"
"57","G1/G0"
"58","S"
"59","G1/G0"
"60","S"
"61","S"
"62","S"
"63","S"
"64","M"
"65","G1/G0"
"66","G2/M"
"67","G2/M"
"68","S"
"69","G1/G0"
"70","S"
"71","S"
"72","G1/G0"
"73","S"
"74","G1/G0"
"75","G1/G0"
"76","G1/G0"
"77","G1/G0"
"78","G2/M"
"79","M"
"80","S"
"81","G2/M"
"82","G2/M"
"83","G2/M"
"84","G1/G0"
"85","S"
"86","G1/G0"
"87","S"
"88","G2/M"
"89","G1/G0"
"90","G1/G0"
"91","G1/G0"
"92","S"
"93","S"
"94","G2/M"
"95","G2/M"
"96","G2/M"
"97","G1/G0"
"98","G1/G0"
"99","G2/M"
"100","G2/M"
"101","G1/G0"
"102","S"
"103","G1/G0"
"104","G2/M"
"105","G1/G0"
"106","G1/G0"
"107","G1/G0"
"108","S"
"109","G1/G0"
"110","G2/M"
"111","S"
"112","G1/G0"
"113","G1/G0"
"114","G2/M"
"115","G1/G0"
"116","G2/M"
"117","G1/G0"
"118","G2/M"
"119","S"
"120","G2/M"
"121","S"
"122","S"
"123","G2/M"
"124","G1/G0"
"125","S"
"126","G1/G0"
"127","G2/M"
"128","G1/G0"
"129","S"
"130","G1/G0"
"131","G2/M"
"132","G1/G0"
"133","M"
"134","S"
"135","S"
"136","G1/G0"
"137","M"
"138","S"
"139","G2/M"
"140","G1/G0"
"141","G2/M"
"142","G1/G0"
"143","M"
"144","S"
"145","M"
"146","G1/G0"
"147","S"
"148","G2/M"
"149","G1/G0"
"150","G2/M"
"151","G1/G0"
"152","S"
"153","S"
"154","G2/M"
"155","S"
"156","G2/M"
"157","G2/M"
"158","G1/G0"
"159","S"
"160","G1/G0"
"161","S"
"162","S"
"163","G1/G0"
"164","G2/M"
"165","G1/G0"
"166","G2/M"
"167","G1/G0"
"168","G1/G0"
"169","S"
"170","S"
"171","M"
"172","S"
"173","G1/G0"
"174","S"
"175","G2/M"
"176","G1/G0"
"177","S"
"178","G1/G0"
"179","G1/G0"
"180","G1/G0"
"181","G1/G0"
"182","G2/M"
"183","G1/G0"
"184","G2/M"
"185","G1/G0"
"186","G2/M"
"187","G1/G0"
"188","S"
"189","M"
"190","G1/G0"
"191","G1/G0"
"192","M"
"193","M"
"194","G2/M"
"195","G1/G0"
"196","S"
"197","G2/M"
"198","S"
"199","G1/G0"
"200","G2/M"
"201","G1/G0"
"202","G2/M"
"203","S"
"204","G2/M"
"205","G2/M"
"206","G1/G0"
"207","G2/M"
"208","M"
"209","S"
"210","M"
"211","G1/G0"
"212","G2/M"
"213","S"
"214","G2/M"
"215","G1/G0"
"216","G1/G0"
"217","S"
"218","G2/M"
"219","G1/G0"
"220","G1/G0"
"221","G1/G0"
"222","G1/G0"
"223","G1/G0"
"224","G1/G0"
"225","G1/G0"
"226","G2/M"
"227","G1/G0"
"228","G1/G0"
"229","G2/M"
"230","G2/M"
"231","S"
"232","G2/M"
"233","S"
"234","G1/G0"
"235","G2/M"
"236","S"
"237","M"
"238","G1/G0"
"239","G1/G0"
"240","G2/M"
"241","G1/G0"
"242","G1/G0"
"243","G1/G0"
"244","S"
"245","G1/G0"
"246","S"
"247","G1/G0"
"248","G1/G0"
"249","S"
"250","G1/G0"
"251","M"
"252","G2/M"
"253","G1/G0"
"254","S"
"255","G1/G0"
"256","G1/G0"
"257","G1/G0"
"258","G1/G0"
"259","S"
"260","S"
"261","G1/G0"
"262","S"
"263","S"
"264","S"
"265","S"
"266","S"
"267","S"
"268","G1/G0"
"269","G2/M"
"270","S"
"271","G1/G0"
"272","G2/M"
"273","G2/M"
"274","G1/G0"
"275","S"
"276","G1/G0"
"277","G2/M"
"278","G2/M"
"279","M"
"280","S"
"281","G1/G0"
"282","G2/M"
"283","G1/G0"
"284","G1/G0"
"285","S"
"286","G1/G0"
"287","S"
"288","G1/G0"
"289","S"
"290","G1/G0"
"291","S"
"292","G1/G0"
"293","S"
"294","S"
"295","G1/G0"
"296","G1/G0"
"297","G1/G0"
"298","G1/G0"
"299","G1/G0"
"300","G1/G0"
"301","G1/G0"
"302","G2/M"
"303","G2/M"
"304","M"
"305","G1/G0"
"306","G1/G0"
"307","G1/G0"
"308","G1/G0"
"309","G2/M"
"310","M"
"311","S"
"312","M"
"313","G1/G0"
"314","S"
"315","G1/G0"
"316","G1/G0"
"317","G1/G0"
"318","G2/M"
"319","S"
"320","G1/G0"
"321","S"
"322","G2/M"
"323","G1/G0"
"324","G2/M"
"325","M"
"326","S"
"327","S"
"328","S"
"329","S"
"330","G2/M"
"331","S"
"332","M"
"333","S"
"334","G1/G0"
"335","G1/G0"
"336","G1/G0"
"337","S"
"338","G1/G0"
"339","S"
"340","S"
"341","G2/M"
"342","S"
"343","G2/M"
"344","G2/M"
"345","G1/G0"
"346","S"
"347","S"
"348","S"
"349","G1/G0"
"350","S"
"351","G2/M"
"352","G1/G0"
"353","G1/G0"
"354","G1/G0"
"355","G1/G0"
"356","M"
"357","G1/G0"
"358","G1/G0"
"359","G1/G0"
"360","S"
"361","G2/M"
"362","G2/M"
"363","S"
"364","S"
"365","G1/G0"
"366","G2/M"
"367","G2/M"
"368","G1/G0"
"369","G1/G0"
"370","G1/G0"
"371","G2/M"
"372","S"
"373","S"
"374","G1/G0"
"375","G1/G0"
"376","G1/G0"
"377","G2/M"
"378","S"
"379","S"
"380","G1/G0"
"381","G2/M"
"382","G1/G0"
"383","G1/G0"
"384","S"
"385","G2/M"
"386","G2/M"
"387","G1/G0"
"388","G1/G0"
"389","G1/G0"
"390","S"
"391","G1/G0"
"392","M"
"393","S"
"394","S"
"395","G1/G0"
"396","S"
"397","G1/G0"
"398","S"
"399","S"
"400","G2/M"
"401","G1/G0"
"402","S"
"403","G1/G0"
"404","G2/M"
"405","G1/G0"
"406","G2/M"
"407","G1/G0"
"408","G2/M"
"409","G2/M"
"410","S"
"411","G2/M"
"412","G2/M"
"413","G1/G0"
"414","G2/M"
"415","G1/G0"
"416","S"
"417","G1/G0"
"418","G2/M"
"419","G1/G0"
"420","M"
"421","S"
"422","G1/G0"
"423","G1/G0"
"424","M"
"425","G1/G0"
"426","S"
"427","G1/G0"
"428","G2/M"
"429","S"
"430","G1/G0"
"431","G2/M"
"432","G1/G0"
"433","G1/G0"
"434","G2/M"
"435","G1/G0"
"436","G2/M"
"437","G1/G0"
"438","G1/G0"
"439","S"
"440","S"
"441","G2/M"
"442","M"
"443","S"
"444","G1/G0"
"445","G1/G0"
"446","S"
"447","G1/G0"
"448","G1/G0"
"449","G1/G0"
"450","G1/G0"
"451","M"
"452","S"
"453","G2/M"
"454","G2/M"
"455","S"
"456","G1/G0"
"457","S"
"458","M"
"459","S"
"460","S"
"461","M"
"462","S"
"463","G2/M"
"464","G1/G0"
"465","G1/G0"
"466","G1/G0"
"467","G1/G0"
"468","G1/G0"
"469","G2/M"
"470","G1/G0"
"471","S"
"472","S"
"473","S"
"474","S"
"475","G2/M"
"476","S"
"477","G1/G0"
"478","G2/M"
"479","G1/G0"
"480","G1/G0"
"481","G2/M"
"482","S"
"483","S"
"484","M"
"485","G1/G0"
"486","M"
"487","G2/M"
"488","S"
"489","G1/G0"
"490","G1/G0"
"491","S"
"492","S"
"493","G1/G0"
"494","S"
"495","M"
"496","S"
"497","S"
"498","S"
"499","G2/M"
"500","G2/M"
"501","G1/G0"
"502","G2/M"
"503","S"
"504","S"
"505","G1/G0"
"506","S"
"507","S"
"508","G1/G0"
"509","G2/M"
"510","G1/G0"
"511","G1/G0"
"512","G2/M"
"513","G1/G0"
"514","G2/M"
"515","S"
"516","S"
"517","S"
"518","G1/G0"
"519","G2/M"
"520","G1/G0"
"521","G1/G0"
"522","G1/G0"
"523","G1/G0"
"524","G2/M"
"525","G2/M"
"526","S"
"527","G1/G0"
"528","M"
"529","G1/G0"
"530","S"
"531","S"
"532","G1/G0"
"533","G2/M"
"534","G1/G0"
"535","S"
"536","S"
"537","G2/M"
"538","G1/G0"
"539","S"
"540","G2/M"
"541","S"
"542","G1/G0"
"543","G1/G0"
"544","G2/M"
"545","S"
"546","G1/G0"
"547","S"
"548","S"
"549","S"
"550","G2/M"
"551","G1/G0"
"552","S"
"553","G2/M"
"554","G2/M"
"555","G1/G0"
"556","S"
"557","G1/G0"
"558","G2/M"
"559","G1/G0"
"560","S"
"561","G1/G0"
"562","G1/G0"
"563","S"
"564","S"
"565","G1/G0"
"566","G1/G0"
"567","G1/G0"
"568","S"
"569","G1/G0"
"570","M"
"571","G2/M"
"572","G1/G0"
"573","G1/G0"
"574","S"
"575","G1/G0"
"576","G2/M"
"577","S"
"578","G1/G0"
"579","G1/G0"
"580","S"
"581","G2/M"
"582","S"
"583","S"
"584","G1/G0"
"585","S"
"586","G1/G0"
"587","S"
"588","G1/G0"
"589","G1/G0"
"590","S"
"591","G1/G0"
"592","S"
"593","S"
"594","S"
"595","S"
"596","G1/G0"
"597","M"
"598","G1/G0"
"599","G1/G0"
"600","S"
"601","S"
"602","G1/G0"
"603","G2/M"
"604","G2/M"
"605","S"
"606","S"
"607","S"
"608","S"
"609","G1/G0"
"610","G2/M"
"611","G1/G0"
"612","G2/M"
"613","S"
"614","G1/G0"
"615","G2/M"
"616","M"
