"","ccAF","recat"
"1","S","G1"
"2","G1","G1"
"3","M/Early G1","G1"
"4","G1","G1"
"5","G1","G1"
"6","G2/M","M"
"7","S/G2","M"
"8","Neural G0","G1"
"9","G1","G1"
"10","G1","G1"
"11","Late G1","G1"
"12","G1","G1"
"13","G2/M","M"
"14","G1","G1"
"15","G1","G1"
"16","S","G2M"
"17","Neural G0","G1"
"18","G1","G1"
"19","G2/M","G1"
"20","M/Early G1","G1"
"21","G1","G1"
"22","G1","G1"
"23","G2/M","M"
"24","G1","G1"
"25","G1","G1"
"26","G1","G1"
"27","G2/M","G2M"
"28","M/Early G1","G1"
"29","Neural G0","G1"
"30","Neural G0","G1"
"31","G2/M","M"
"32","Neural G0","G1"
"33","S/G2","M"
"34","G1","S"
"35","G1","M"
"36","M/Early G1","M"
"37","S/G2","G1"
"38","Neural G0","G1"
"39","S/G2","G1S"
"40","G1","M"
"41","G1","G1"
"42","Neural G0","G1"
"43","G1","G1"
"44","M/Early G1","G1"
"45","G1","G1"
"46","M/Early G1","M"
"47","S","S"
"48","S","G1"
"49","Neural G0","G1"
"50","G1","G1"
"51","G1","G1"
"52","G1","G1"
"53","Neural G0","G1"
"54","S/G2","M"
"55","M/Early G1","M"
"56","G1","G1"
"57","M/Early G1","G1"
"58","G1","G1"
"59","S/G2","G1S"
"60","M/Early G1","G1"
"61","Neural G0","G1"
"62","G1","G1"
"63","Late G1","S"
"64","S","G2"
"65","G2/M","M"
"66","G1","G1"
"67","Neural G0","G1"
"68","G1","G1"
"69","S","G1"
"70","Neural G0","G1"
"71","G1","G1"
"72","G1","G1"
"73","G1","G1"
"74","S/G2","M"
"75","S/G2","G2M"
"76","G1","G1"
"77","G1","G1"
"78","G1","G1"
"79","G2/M","M"
"80","Neural G0","G1"
"81","Neural G0","G1"
"82","G1","G1"
"83","G1","G1"
"84","S/G2","M"
"85","Neural G0","G1"
"86","S","G1"
"87","M/Early G1","G1"
"88","S","G1"
"89","G1","G1"
"90","Late G1","G1"
"91","S/G2","G1"
"92","Neural G0","M"
"93","Neural G0","G1"
"94","Late G1","G1"
"95","Late G1","G1"
"96","Neural G0","G1"
"97","G1","G1"
"98","G1","G1"
"99","Neural G0","G1"
"100","Neural G0","G1"
"101","G1","G1"
"102","G2/M","G1"
"103","Late G1","G1"
"104","G2/M","G2M"
"105","Late G1","S"
"106","G1","G1"
"107","Neural G0","G1"
"108","Neural G0","G1"
"109","Neural G0","G1"
"110","G1","G1"
"111","Neural G0","G1"
"112","G1","G1"
"113","G1","G1"
"114","G1","G1"
"115","S","G1"
"116","M/Early G1","G1"
"117","G1","G1"
"118","Neural G0","G1"
"119","Neural G0","G1"
"120","Neural G0","G1"
"121","G1","G1"
"122","Neural G0","G1"
"123","G1","G1"
"124","S/G2","M"
"125","G1","G1"
"126","S/G2","M"
"127","M/Early G1","G1"
"128","Late G1","G1"
"129","Neural G0","G1"
"130","S/G2","G2M"
"131","Neural G0","G1"
"132","Neural G0","G1"
"133","G1","G1"
"134","G1","G1"
"135","Neural G0","G1"
"136","S/G2","S"
"137","Neural G0","G1"
"138","G1","G1"
"139","Neural G0","G1"
"140","S/G2","M"
"141","G1","G1"
"142","G1","G1"
"143","G1","G1"
"144","M/Early G1","G1"
"145","G1","G1"
"146","G1","G1"
"147","G1","G1"
"148","Neural G0","G1"
"149","Neural G0","G1"
"150","S","G1"
"151","S/G2","G2M"
"152","Neural G0","G1"
"153","G2/M","M"
"154","M/Early G1","G1"
"155","S","S"
"156","G2/M","M"
"157","M/Early G1","G1"
"158","S/G2","G1"
"159","G1","G1"
"160","G2/M","M"
"161","G1","G2M"
"162","G1","G1"
"163","G1","G1"
"164","G1","G1"
"165","Neural G0","G1"
"166","M/Early G1","G1"
"167","G1","G1"
"168","G1","G1"
"169","M/Early G1","G1"
"170","Neural G0","G1"
"171","M/Early G1","G1"
"172","G1","G1"
"173","M/Early G1","M"
"174","Neural G0","G1"
"175","G1","G1"
"176","Neural G0","G1"
"177","G2/M","G1"
"178","S","G1"
"179","G1","G1"
"180","G1","G1"
"181","G2/M","M"
"182","G2/M","G2"
"183","G1","G1"
"184","S","G1S"
"185","M/Early G1","G1"
"186","Neural G0","G2"
"187","G1","G1"
"188","Neural G0","G1"
"189","Late G1","G1"
"190","G2/M","M"
"191","G1","G1"
"192","Neural G0","G1"
"193","G1","G1"
"194","G1","G1"
"195","G1","G1"
"196","G1","G1"
"197","G1","G1"
"198","G1","G1"
"199","G1","G1"
"200","M/Early G1","G2M"
"201","S/G2","G1"
"202","G1","G1"
"203","Neural G0","G1"
"204","M/Early G1","G1"
"205","G1","G1"
"206","M/Early G1","G1"
"207","S/G2","G1S"
"208","G1","G1"
"209","G1","G1"
"210","S/G2","G2M"
"211","G1","G1"
"212","S","G1"
"213","S","G1"
"214","Late G1","G1"
"215","G2/M","M"
"216","S/G2","G1"
"217","Late G1","G1"
"218","Neural G0","G1"
"219","M/Early G1","G1"
"220","S/G2","G1"
"221","Neural G0","G1"
"222","G1","G1"
"223","G2/M","M"
"224","G1","G1"
"225","G2/M","G1"
"226","G2/M","M"
"227","Neural G0","G1"
"228","S","G1"
"229","G1","G1"
"230","Neural G0","G1"
"231","S","G1"
"232","Neural G0","G1"
"233","M/Early G1","G1"
"234","G2/M","M"
"235","Neural G0","G2M"
"236","S/G2","M"
"237","M/Early G1","G1"
"238","S/G2","G1"
"239","G1","G1"
"240","S/G2","M"
"241","S/G2","G1"
"242","M/Early G1","G1"
"243","Neural G0","G1"
"244","G1","G1"
"245","G1","G1"
"246","M/Early G1","G1"
"247","G2/M","M"
"248","M/Early G1","G1"
"249","G2/M","M"
"250","G1","G1"
"251","G1","G1"
"252","G1","G1"
"253","G1","G1"
"254","G1","G1"
"255","Neural G0","G1"
"256","G1","G1"
"257","G1","G1"
"258","G2/M","G2M"
"259","G1","G1"
"260","G1","G1"
"261","S/G2","M"
"262","G1","G1"
"263","G1","G1"
"264","M/Early G1","G1"
"265","M/Early G1","G1"
"266","G1","G1"
"267","S","G1"
"268","S/G2","G1"
"269","S/G2","M"
"270","G1","G1"
"271","M/Early G1","G1"
"272","G2/M","M"
"273","Neural G0","G1"
"274","S","S"
"275","G1","G1"
"276","S/G2","G2M"
"277","G2/M","G2M"
"278","M/Early G1","M"
"279","G2/M","M"
"280","S","G1"
"281","Neural G0","G1"
"282","S/G2","G1"
"283","M/Early G1","G1S"
"284","Late G1","G1"
"285","G1","G1"
"286","S","G1"
"287","G1","G1"
"288","G2/M","M"
"289","M/Early G1","G1"
"290","G2/M","M"
"291","Neural G0","G1"
"292","G1","G1"
"293","S","S"
"294","G1","G1"
"295","M/Early G1","G1"
"296","M/Early G1","G1"
"297","G1","G1"
"298","G1","G1"
"299","M/Early G1","M"
"300","Late G1","S"
"301","S","G1S"
"302","G2/M","M"
"303","G1","G1"
"304","G2/M","G2M"
"305","G1","G1S"
"306","G2/M","M"
"307","Neural G0","G1"
"308","G1","G1"
"309","G1","G1"
"310","G1","G1"
"311","G1","G1"
"312","G2/M","M"
"313","G1","G1"
"314","G1","G1"
"315","S","G1S"
"316","Neural G0","G1"
"317","S/G2","M"
"318","M/Early G1","G1"
"319","G2/M","M"
"320","G1","G1"
"321","S/G2","G1"
"322","M/Early G1","G1"
"323","G2/M","M"
"324","G1","G1"
"325","Neural G0","G1"
"326","S/G2","G2"
"327","S","G1"
"328","G1","G1"
"329","S/G2","G2"
"330","G1","G1"
"331","Neural G0","G1"
"332","S/G2","S"
"333","Neural G0","G1"
"334","G1","G1"
"335","G1","G1"
"336","S","G1"
"337","G1","G1"
"338","G1","G1"
"339","M/Early G1","G1"
"340","M/Early G1","G1"
"341","Neural G0","G1"
"342","Late G1","G1"
"343","G2/M","M"
"344","Neural G0","G1"
"345","G2/M","G2"
"346","Neural G0","G1"
"347","G1","G1"
"348","G2/M","M"
"349","Neural G0","G1"
"350","G1","G1"
"351","S/G2","G1"
"352","G2/M","G2M"
"353","G1","G1"
"354","S/G2","M"
"355","S/G2","G1"
"356","G1","G1"
"357","G2/M","M"
"358","M/Early G1","G1"
"359","Neural G0","G1"
"360","S","G1"
"361","G1","G1"
"362","Neural G0","G1"
"363","G2/M","M"
"364","G2/M","M"
"365","Neural G0","G1"
"366","S/G2","G2M"
"367","G1","G1"
"368","S/G2","G2"
"369","G1","G1"
"370","G1","G1"
"371","G1","G1"
"372","Neural G0","G1"
"373","G1","G1"
"374","Late G1","G1"
"375","S","S"
"376","G2/M","M"
"377","Late G1","G1"
"378","G1","G1"
"379","M/Early G1","G1"
"380","G1","G1"
"381","G1","G1"
"382","G1","G1"
"383","Neural G0","G1"
"384","Neural G0","G1"
"385","S/G2","G1S"
"386","S/G2","M"
"387","S/G2","M"
"388","G1","G1"
"389","G2/M","M"
"390","G1","G1"
"391","G1","G1"
"392","G1","G1"
"393","G1","G1"
"394","Neural G0","G1"
"395","Neural G0","G1"
"396","G1","G1"
"397","G2/M","M"
"398","G1","G1"
"399","G1","G1"
"400","G1","G1"
"401","S","G1"
"402","G1","G1"
"403","S","G1S"
"404","S/G2","M"
"405","G1","G1"
"406","G2/M","M"
"407","S/G2","M"
"408","G2/M","M"
"409","Neural G0","G1"
"410","S/G2","G2"
"411","Neural G0","G1"
"412","Late G1","G1"
"413","S/G2","G1S"
"414","G2/M","G1"
"415","S/G2","G1"
"416","S","G1S"
"417","G1","G1"
"418","G2/M","G2M"
"419","Late G1","G1"
"420","G2/M","M"
"421","S/G2","G2M"
"422","S/G2","M"
"423","S/G2","G1"
"424","G1","G1"
"425","Late G1","G1"
"426","G1","G1"
"427","S","G1"
"428","S/G2","G2"
"429","Late G1","G1"
"430","S/G2","G1"
"431","S/G2","G1"
"432","S/G2","G1"
"433","Neural G0","M"
"434","G1","G1"
"435","G1","G1"
"436","G1","G1"
"437","Neural G0","G1"
"438","G2/M","M"
"439","G1","G1"
"440","Late G1","G1"
"441","G1","G1"
"442","G2/M","M"
"443","G2/M","M"
"444","G1","G1"
"445","G2/M","M"
"446","M/Early G1","G1"
"447","Neural G0","G1"
"448","G1","G1"
"449","G2/M","M"
"450","M/Early G1","M"
"451","M/Early G1","G1"
"452","Neural G0","G1"
"453","G1","G1"
"454","M/Early G1","G1"
"455","Neural G0","G1"
"456","S","G2"
"457","S/G2","G2M"
"458","M/Early G1","G1"
"459","S/G2","M"
"460","G2/M","G2M"
"461","G1","G1"
"462","S","G1S"
"463","S","G1"
"464","S","G1"
"465","G1","G1"
"466","G1","G1"
"467","S","G1S"
"468","M/Early G1","G1"
"469","G2/M","M"
"470","G2/M","M"
"471","G1","G1"
"472","Neural G0","G1"
"473","M/Early G1","G1"
"474","G1","G1"
"475","M/Early G1","G1"
"476","G1","G1"
"477","G2/M","M"
"478","Neural G0","G1"
"479","G1","G1"
"480","S/G2","G1S"
"481","G1","G1"
"482","G2/M","G2M"
"483","S/G2","G1"
"484","G1","G1"
"485","Neural G0","G1"
"486","G1","G1"
"487","S","G1"
"488","G1","G1"
"489","Neural G0","G1"
"490","G1","G1"
"491","G1","G1"
"492","Neural G0","G1"
"493","G1","G1"
"494","G1","G1"
"495","Neural G0","G1"
"496","G1","G1"
"497","G1","G1"
"498","G1","G1"
"499","G2/M","M"
"500","G1","G1"
"501","G1","G1"
"502","S","G1"
"503","M/Early G1","M"
"504","G1","G1"
"505","G1","G1"
"506","Neural G0","G1"
"507","Late G1","G1"
"508","G1","G1"
"509","Neural G0","G1"
"510","G1","G1"
"511","G1","G1"
"512","G1","G1"
"513","Late G1","G1"
"514","G1","G1"
"515","S/G2","G1"
"516","G1","G1"
"517","G1","G1"
"518","Neural G0","G1"
"519","G2/M","M"
"520","G2/M","M"
"521","Late G1","G1"
"522","Neural G0","G1"
"523","S/G2","G2M"
"524","S","G1S"
"525","G1","G1"
"526","S/G2","G2"
"527","G2/M","M"
"528","Neural G0","G1"
"529","G1","G1"
"530","Neural G0","G1"
"531","G1","G1"
"532","M/Early G1","G1"
"533","Neural G0","G1"
"534","S/G2","S"
"535","G1","G1"
"536","M/Early G1","G1"
"537","S","G1"
"538","S/G2","G2M"
"539","S/G2","G1"
"540","G2/M","G2M"
"541","G1","G1"
"542","Neural G0","G1"
"543","Late G1","G1"
"544","S/G2","G1"
"545","S","G1"
"546","Late G1","G1"
"547","S","G1"
"548","Neural G0","G1"
"549","G1","G1"
"550","Neural G0","G1"
"551","S/G2","M"
"552","G1","G1"
"553","G1","G1"
"554","G1","G1"
"555","G2/M","M"
"556","Neural G0","G1"
"557","Neural G0","M"
"558","G2/M","M"
"559","S","G1"
"560","G1","G1"
"561","Neural G0","G1"
"562","G2/M","M"
"563","G2/M","M"
"564","G1","G1"
"565","G1","G1"
"566","S/G2","G1"
"567","G1","G1"
"568","S","G1S"
"569","G1","G1"
"570","S","G1"
"571","G2/M","G2M"
"572","Neural G0","G1"
"573","G1","G1"
"574","G2/M","G1"
"575","G1","G1"
"576","G1","G1"
"577","Late G1","G1"
"578","G2/M","M"
"579","G1","G1"
"580","M/Early G1","G1"
"581","Neural G0","G1"
"582","Neural G0","G2"
"583","S/G2","G1"
"584","G2/M","G1"
"585","G1","G1"
"586","G1","G1"
"587","G1","G1"
"588","S","G1"
"589","Late G1","G1"
"590","Late G1","G1"
"591","S/G2","G1S"
"592","G1","G1"
"593","M/Early G1","G1"
"594","Neural G0","G1"
"595","G1","G1"
"596","S/G2","G1"
"597","M/Early G1","G1"
"598","Neural G0","G1"
"599","G1","G1"
"600","G1","G1"
"601","G1","G1"
"602","G2/M","G2M"
"603","Neural G0","G1"
"604","Neural G0","G1"
"605","G1","G1"
"606","M/Early G1","G1"
"607","S/G2","M"
"608","G1","G1"
"609","G1","G1"
"610","G1","G1"
"611","G1","G1"
"612","S","G1"
"613","G1","M"
"614","G1","G1"
"615","Neural G0","G1"
"616","S","G1S"
"617","G1","G1"
"618","S/G2","S"
"619","G2/M","M"
"620","G1","G1"
"621","M/Early G1","G1"
"622","G2/M","M"
"623","G1","G1"
"624","G1","G1"
"625","S","G1S"
"626","S","G1"
"627","G1","G1"
"628","G2/M","M"
"629","G1","G1S"
"630","Neural G0","G1"
"631","Neural G0","G1"
"632","G1","G1"
"633","S","G1"
"634","G1","G1"
"635","S","G1"
"636","G1","G1"
"637","S/G2","G1S"
"638","G1","G1"
"639","Late G1","G1"
"640","G1","G1"
"641","M/Early G1","M"
"642","G2/M","M"
"643","G2/M","M"
"644","Neural G0","G1"
"645","G1","G1"
"646","G1","G1"
"647","S/G2","M"
"648","G1","G1"
"649","G1","G1"
"650","G1","G1"
"651","Neural G0","G1"
"652","Neural G0","G1"
"653","G1","G1"
"654","G2/M","G1"
"655","S/G2","M"
"656","Neural G0","G1"
"657","G1","G1"
"658","Late G1","G1"
"659","S/G2","G2"
"660","G1","G1"
"661","G1","G1"
"662","Late G1","G1S"
"663","G1","G1"
"664","G1","G1"
"665","Neural G0","G1"
"666","G1","G1"
"667","M/Early G1","G1"
"668","G1","G1"
"669","M/Early G1","G1"
"670","G1","G1"
"671","S/G2","G2M"
"672","G2/M","M"
"673","Neural G0","G1"
"674","G1","G1"
"675","G1","G1"
"676","Neural G0","G1"
"677","G1","G1"
"678","G1","G1"
"679","Neural G0","G1"
"680","G1","G1"
"681","G2/M","M"
"682","S/G2","M"
"683","G2/M","M"
"684","G2/M","M"
"685","G1","G1"
"686","G1","G1"
"687","S/G2","G1"
"688","S/G2","M"
"689","G1","G1"
"690","S","G1"
"691","Neural G0","G1"
"692","G1","G1"
"693","Late G1","G1"
"694","S","G1"
"695","G1","G1"
"696","Neural G0","G1"
"697","G1","G1"
"698","G1","G1"
"699","Late G1","G1"
"700","M/Early G1","M"
"701","G1","G1"
"702","S/G2","G1"
"703","Neural G0","G1"
"704","M/Early G1","G1"
"705","S","G1"
"706","S/G2","G1"
"707","S/G2","G1"
"708","Late G1","G1"
"709","G1","G1"
"710","G1","G1"
"711","G1","G2M"
"712","G2/M","M"
"713","G1","G1"
"714","M/Early G1","G1"
"715","G1","G1"
"716","Neural G0","G1"
"717","S","G1"
"718","Neural G0","G1"
"719","S","G1"
"720","G1","G1"
"721","Neural G0","G1"
"722","Neural G0","G2"
"723","G1","G1"
"724","S/G2","G2"
"725","G2/M","G1"
"726","G1","G1"
"727","G1","G1"
"728","S","G1"
"729","G1","G1"
"730","Neural G0","G1"
"731","G1","G1"
"732","S/G2","G2M"
"733","M/Early G1","G1"
"734","G1","G1"
"735","M/Early G1","G1"
"736","Neural G0","G1"
"737","Neural G0","G1"
"738","Late G1","G1"
"739","G1","G1"
"740","G1","G1"
"741","G2/M","M"
"742","Late G1","S"
"743","S/G2","G1"
"744","M/Early G1","G1"
"745","G1","G1"
"746","G2/M","G2M"
"747","M/Early G1","G1"
"748","S/G2","G1S"
"749","G1","G1"
"750","S/G2","S"
"751","Neural G0","G1"
"752","G1","G1"
"753","Late G1","G1"
"754","G2/M","M"
"755","M/Early G1","G1"
"756","G2/M","G1"
"757","G1","G1"
"758","G1","G1"
"759","Late G1","G1"
"760","G1","G1"
"761","G2/M","G2M"
"762","Late G1","G1"
"763","G2/M","M"
"764","S/G2","M"
"765","S/G2","G2"
"766","S/G2","M"
"767","S/G2","G1"
"768","S","G1"
"769","S/G2","G1"
"770","G1","G1"
"771","Neural G0","G1"
"772","G1","G1"
"773","S/G2","G2M"
"774","G1","G1"
"775","G1","G1"
"776","G2/M","M"
"777","G1","G1"
"778","G1","M"
"779","G1","G1"
"780","G2/M","M"
"781","G1","G1"
"782","G2/M","M"
"783","G1","G1"
"784","G1","G1"
"785","G2/M","M"
"786","Neural G0","G1"
"787","G1","G1"
"788","Neural G0","G1"
"789","S/G2","M"
"790","G1","G1"
"791","Neural G0","G1"
"792","G1","G1"
"793","G1","G1"
"794","S","G1S"
"795","Neural G0","G1"
"796","G1","G1"
"797","G2/M","G2"
"798","Late G1","G1"
"799","G1","G1"
"800","S","G1"
"801","G1","G1"
"802","G1","G1"
"803","G1","G1"
"804","G1","G1"
"805","G2/M","M"
"806","G1","G1"
"807","G1","G1"
"808","G1","G1"
"809","Late G1","G1"
"810","Late G1","G1"
"811","S","G1"
"812","G2/M","M"
"813","G1","G1"
"814","G1","G1"
"815","G1","G1"
"816","S","G1"
"817","S/G2","G1"
"818","Late G1","G1"
"819","G2/M","M"
"820","G1","G1"
"821","G2/M","M"
"822","G1","G1"
"823","S","S"
"824","G1","G1"
"825","G1","G1"
"826","M/Early G1","G1"
"827","S","G1"
"828","Neural G0","G1"
"829","G1","G1"
"830","S/G2","G1"
"831","S/G2","G2M"
"832","G1","G1"
"833","G1","G2M"
"834","G2/M","G2M"
"835","G1","G1"
"836","G2/M","M"
"837","S/G2","G1"
"838","G1","G1"
"839","G1","G1"
"840","G1","G1"
"841","S","G1S"
"842","Neural G0","G1"
"843","G1","G1"
"844","G1","G1"
"845","G1","G1"
"846","G1","G1"
"847","G1","G1"
"848","S/G2","G2"
"849","S/G2","G1"
"850","G2/M","M"
"851","Neural G0","G1"
"852","Neural G0","G1"
"853","G1","G1"
"854","Late G1","G1"
"855","Neural G0","G1"
"856","G1","G1"
"857","Neural G0","G1"
"858","Neural G0","G1"
"859","G1","G1"
"860","M/Early G1","G1"
"861","S","G1"
"862","G1","G2M"
"863","G1","G1"
"864","G1","G1"
"865","G1","G1"
"866","G1","G1"
"867","G1","G1"
"868","Neural G0","G1"
"869","S","G1"
"870","Late G1","G1"
"871","Neural G0","G1"
"872","Late G1","G1"
"873","Neural G0","G1"
"874","M/Early G1","M"
"875","M/Early G1","G1"
"876","M/Early G1","G1"
"877","Neural G0","M"
"878","G2/M","M"
"879","M/Early G1","G1"
"880","M/Early G1","G1"
"881","Neural G0","M"
"882","Late G1","G1"
"883","G2/M","M"
"884","G1","G1"
"885","G1","G1"
"886","Late G1","G1"
"887","G1","G1"
"888","Neural G0","G1"
"889","Late G1","G1"
"890","Neural G0","G1"
"891","Neural G0","G1"
"892","G2/M","M"
"893","S/G2","G1"
"894","G1","G1"
"895","S/G2","G1"
"896","S","G1"
"897","Late G1","G1"
"898","G1","G1"
"899","Late G1","G1"
"900","G2/M","G1"
"901","G1","G1"
"902","S","G1"
"903","Late G1","G1"
"904","G1","G1"
"905","G1","G1"
"906","S/G2","M"
"907","Neural G0","G1"
"908","S/G2","M"
"909","G1","G1"
"910","S","S"
"911","S","G1"
"912","M/Early G1","G1"
"913","G1","G1"
"914","Late G1","G1"
"915","G2/M","G1"
"916","M/Early G1","G1"
"917","M/Early G1","G1"
"918","G1","G1"
"919","G1","G1"
"920","G1","G1"
"921","Neural G0","G1"
"922","M/Early G1","G1"
"923","G2/M","M"
"924","Neural G0","G1"
"925","S/G2","G1"
"926","S/G2","G1"
"927","Neural G0","G1"
"928","G2/M","M"
"929","Neural G0","G1"
"930","S","G1"
"931","G1","G1"
"932","Neural G0","G1"
"933","M/Early G1","G1"
"934","M/Early G1","G2M"
"935","G1","G1"
"936","S/G2","M"
"937","S","G1"
"938","S","G1"
"939","G2/M","M"
"940","G1","G1"
"941","G2/M","M"
"942","S","G1"
"943","G1","G1"
"944","G2/M","M"
"945","S/G2","G1S"
"946","G1","G1"
"947","Neural G0","G1"
"948","S","G1"
"949","Neural G0","G1"
"950","G2/M","M"
"951","M/Early G1","G1"
"952","Late G1","G2"
"953","G1","G1"
"954","S/G2","G2"
"955","Neural G0","G1"
"956","S","G1"
"957","G1","G1"
"958","G2/M","M"
"959","G1","G1"
"960","G2/M","M"
"961","S/G2","G1"
"962","G2/M","M"
"963","G1","G1"
"964","G1","G1"
"965","G2/M","M"
"966","S/G2","G1"
"967","S","G1"
"968","G1","G1"
"969","G1","G1"
"970","Late G1","G1"
"971","G1","G1"
"972","G2/M","M"
"973","Late G1","G1"
"974","Late G1","G1"
"975","G1","G1"
"976","S/G2","M"
"977","Late G1","G1"
"978","G2/M","M"
"979","Late G1","G1"
"980","S/G2","G1"
"981","G1","G1"
"982","Neural G0","G1"
"983","Late G1","G1"
"984","Neural G0","G2M"
"985","S","G1"
"986","G2/M","G1"
"987","Late G1","G1"
"988","Neural G0","G1"
"989","G1","G1"
"990","Late G1","G1"
"991","Neural G0","G1"
"992","M/Early G1","G1"
"993","M/Early G1","G1"
"994","M/Early G1","G1"
"995","G1","G1"
"996","S/G2","M"
"997","G1","G1"
"998","G1","G1"
"999","S","G1"
"1000","Late G1","G1"
"1001","G1","G1"
"1002","G1","G1"
"1003","G2/M","G2M"
"1004","G1","G1"
"1005","S","G1"
"1006","G1","G1"
"1007","S/G2","G1"
"1008","Late G1","G1S"
"1009","S/G2","G2M"
"1010","S/G2","M"
"1011","Neural G0","G1"
"1012","Neural G0","G1"
"1013","M/Early G1","G1"
"1014","Neural G0","G1"
"1015","Neural G0","G1"
"1016","G1","G1"
"1017","M/Early G1","M"
"1018","S/G2","M"
"1019","Neural G0","G1"
"1020","Neural G0","G1"
"1021","G1","G1"
"1022","G2/M","M"
"1023","G1","G1"
"1024","G1","G1"
"1025","S","G1"
"1026","S","G1"
"1027","G1","G1"
"1028","Late G1","G1"
"1029","G2/M","M"
"1030","S","G1"
"1031","G1","G1"
"1032","G1","G1"
"1033","Neural G0","G1"
"1034","G1","G1"
"1035","G2/M","M"
"1036","S/G2","G1"
"1037","G1","G1"
"1038","Late G1","G1"
"1039","M/Early G1","G1"
"1040","G2/M","M"
"1041","G1","G1"
"1042","Neural G0","G1"
"1043","G1","G1"
"1044","Late G1","S"
"1045","G1","G1"
"1046","M/Early G1","G1"
"1047","S/G2","G2M"
"1048","M/Early G1","G1"
"1049","G1","G1"
"1050","S/G2","G1"
"1051","M/Early G1","G1"
"1052","G1","G1"
"1053","Late G1","G1"
"1054","M/Early G1","G1"
"1055","G1","G1"
"1056","Neural G0","G1"
"1057","Late G1","G1"
"1058","Late G1","M"
"1059","G1","G1"
"1060","G1","G1"
"1061","G1","G1"
"1062","G1","G1"
"1063","G1","G1"
"1064","G1","G1"
"1065","S","G1"
"1066","Neural G0","G1"
"1067","G1","G1"
"1068","S","G1"
"1069","G2/M","M"
"1070","G2/M","M"
"1071","G1","G1"
"1072","S/G2","G1"
"1073","G1","G1"
"1074","M/Early G1","G1"
"1075","S/G2","G1"
"1076","S","G1S"
"1077","Neural G0","G1"
"1078","Late G1","G1"
"1079","G1","G1"
"1080","M/Early G1","G1"
"1081","Late G1","G1"
"1082","M/Early G1","G1"
"1083","Late G1","G1"
"1084","M/Early G1","G1"
"1085","G2/M","M"
"1086","Late G1","G1"
"1087","G1","G1"
"1088","M/Early G1","M"
"1089","G1","G1"
"1090","G1","G1"
"1091","Neural G0","G1"
"1092","G1","G1"
"1093","G1","G1"
"1094","G1","G1"
"1095","G2/M","M"
"1096","Neural G0","G1"
"1097","G1","S"
"1098","Late G1","G1"
"1099","M/Early G1","G1"
"1100","S","G1"
"1101","S","G1"
"1102","Neural G0","G1"
"1103","Neural G0","G1"
"1104","G1","G1S"
"1105","G2/M","M"
"1106","G2/M","M"
"1107","S","G1S"
"1108","G2/M","G2M"
"1109","G2/M","G2M"
"1110","G1","M"
"1111","Neural G0","G1"
"1112","G1","G1"
"1113","G1","G1"
"1114","S/G2","G1"
"1115","G2/M","M"
"1116","G1","G1"
"1117","S/G2","G1"
"1118","Neural G0","G1"
"1119","G2/M","M"
"1120","G2/M","G2M"
"1121","Neural G0","G1"
"1122","G1","G1"
"1123","S/G2","G1"
"1124","M/Early G1","G1"
"1125","S","G1"
"1126","G1","G1"
"1127","S/G2","G1"
"1128","G1","G1"
"1129","G1","G1"
"1130","Neural G0","G1"
