"","Phase","recat"
"1","G1","G1"
"2","S","G1"
"3","G1","G1"
"4","S","G1"
"5","G2M","G2M"
"6","G2M","M"
"7","G1","G1"
"8","G1","G1"
"9","G1","G1"
"10","G2M","M"
"11","G1","G1"
"12","G1","G1"
"13","G1","G1"
"14","G2M","G1"
"15","G2M","G2M"
"16","S","G1"
"17","G1","G1"
"18","G1","G1"
"19","G1","G1"
"20","G1","G1"
"21","G1","G1"
"22","G1","G1"
"23","S","G1S"
"24","S","S"
"25","G1","G1"
"26","S","G1"
"27","G2M","G1"
"28","G1","G1"
"29","S","G1"
"30","G1","G1"
"31","G1","G1"
"32","G1","G1"
"33","G1","G1"
"34","G1","G1"
"35","G2M","M"
"36","G2M","M"
"37","S","G1"
"38","G2M","M"
"39","S","G1"
"40","G1","G1"
"41","G1","G1"
"42","S","G1S"
"43","S","G1"
"44","G2M","G2M"
"45","G1","G1"
"46","G1","G1"
"47","S","G1"
"48","G1","G1"
"49","G2M","G2M"
"50","G1","G1"
"51","S","G1"
"52","G1","G1"
"53","G2M","M"
"54","G1","G1"
"55","G2M","G2M"
"56","G1","G1"
"57","G1","G1"
"58","G1","G1"
"59","G2M","M"
"60","G1","G1"
"61","G1","G1"
"62","G2M","M"
"63","G1","G1"
"64","G1","G1"
"65","G1","G1"
"66","G1","G1"
"67","G2M","M"
"68","G1","G1"
"69","S","G1"
"70","G2M","G2M"
"71","S","G1"
"72","G1","G1"
"73","G1","G1"
"74","G1","G1"
"75","G1","G1"
"76","G1","G1"
"77","G1","G1"
"78","G2M","G1"
"79","G1","G1"
"80","G1","G1"
"81","G1","G1"
"82","S","S"
"83","G1","G1"
"84","G1","G1"
"85","G1","G1"
"86","G1","G1"
"87","S","G1"
"88","G2M","M"
"89","S","G1"
"90","G1","G1"
"91","G1","G1"
"92","G1","G1"
"93","S","G1"
"94","G1","G1"
"95","S","G1"
"96","S","G1"
"97","G1","G1"
"98","G1","G1"
"99","G2M","M"
"100","G2M","M"
"101","G2M","G2M"
"102","S","G1"
"103","G1","G1"
"104","G1","G1"
"105","G1","G1"
"106","G1","G1"
"107","G1","G1"
"108","G1","G1"
"109","G1","G1"
"110","G1","G1"
"111","G2M","M"
"112","G1","G1"
