"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGFBP5",6.02187769243071e-44,0.365834070574511,1,0.998,8.35415092270913e-40,"G1","IGFBP5"
"IGFBP3",6.25147200279968e-43,0.505953418686657,0.957,0.899,8.672667109484e-39,"G1","IGFBP3"
"MALAT1",1.27899439783358e-41,0.343285674426433,1,1,1.77434892811453e-37,"G1","MALAT1"
"MAP3K7CL",8.99095257891295e-41,0.46831900395909,0.783,0.598,1.24731485127259e-36,"G1","MAP3K7CL"
"PDLIM7",4.85986679809945e-36,0.321812754879712,0.987,0.964,6.74209320900337e-32,"G1","PDLIM7"
"MIAT",2.47962245551921e-32,0.397845248380541,0.445,0.252,3.4399802325418e-28,"G1","MIAT"
"PSAP",6.33428146991222e-27,0.386613997132782,0.954,0.886,8.78754868320923e-23,"G1","PSAP"
"TPST2",2.46982101201365e-23,0.329933554914077,0.67,0.519,3.42638268996654e-19,"G1","TPST2"
"CLU",2.94435749134396e-22,0.257006712886951,0.995,0.987,4.08470714774148e-18,"G1","CLU"
"PRSS23",6.84615344718585e-22,0.309849188502028,0.977,0.962,9.49766867728094e-18,"G1","PRSS23"
"DLG1",6.82310972935078e-21,0.343674200092168,0.626,0.484,9.46570012752834e-17,"G1","DLG1"
"AHNAK2",5.11242171527713e-19,0.282786759684124,0.481,0.34,7.09246264560397e-15,"G1","AHNAK2"
"TM7SF2",1.3054476152368e-17,0.304537928572643,0.587,0.457,1.81104747661801e-13,"G1","TM7SF2"
"RSU1",6.19073404799423e-16,0.252242825899171,0.808,0.73,8.58840534478239e-12,"G1","RSU1"
"GJB2",3.10110437017006e-15,0.396121121567693,0.509,0.381,4.30216209273692e-11,"G1","GJB2"
"C6orf15",1.8324668911985e-14,0.404543864613398,0.942,0.905,2.54218131815968e-10,"G1","C6orf15"
"MYL9",2.75577573933215e-13,0.3085843641741,0.913,0.871,3.8230876831755e-09,"G1","MYL9"
"CMTM7",2.38749027210904e-12,0.276648710491749,0.755,0.68,3.31216525449687e-08,"G1","CMTM7"
"BTG1",1.16270982559595e-11,0.285813686051047,0.668,0.579,1.61302734104927e-07,"G1","BTG1"
"TAGLN",3.70901796748168e-10,0.31625723656612,0.967,0.939,5.14552062628734e-06,"G1","TAGLN"
"GPM6B",3.56665942118278e-136,1.14567457720385,0.989,0.879,4.94802661500687e-132,"Neural G0","GPM6B"
"PRCP",1.18681312065505e-135,1.35537815729149,0.819,0.371,1.64646584228475e-131,"Neural G0","PRCP"
"SCRG1",9.17437005021923e-132,1.13250627765611,0.745,0.249,1.27276035706691e-127,"Neural G0","SCRG1"
"FABP7",5.79292207138868e-128,0.94383433022816,0.998,0.99,8.03652078963751e-124,"Neural G0","FABP7"
"PLP1",1.11345443857677e-120,0.80299874266475,0.482,0.087,1.54469534263755e-116,"Neural G0","PLP1"
"BEX1",1.4522459261307e-115,1.32149867671157,0.962,0.735,2.01470077332112e-111,"Neural G0","BEX1"
"S100B",1.64166880298712e-105,1.2232840040196,0.756,0.336,2.27748713038403e-101,"Neural G0","S100B"
