,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
0,6.02187769243071e-44,0.365834070574511,1.0,0.998,8.35415092270913e-40,G1,IGFBP5,ENSG00000115461,IGFBP5,ENSMUSG00000026185,Igfbp5
1,6.25147200279968e-43,0.505953418686657,0.957,0.899,8.672667109484e-39,G1,IGFBP3,ENSG00000146674,IGFBP3,ENSMUSG00000020427,Igfbp3
2,2.25981797551416e-07,0.284230453440801,0.973,0.916,0.0031350454774307,S,IGFBP3,ENSG00000146674,IGFBP3,ENSMUSG00000020427,Igfbp3
3,1.27899439783358e-41,0.343285674426433,1.0,1.0,1.77434892811453e-37,G1,MALAT1,ENSG00000251562,MALAT1,missing20,missing20
4,1.34141073992918e-70,0.582636064393685,1.0,1.0,1.86093911950375e-66,Neural G0,MALAT1,ENSG00000251562,MALAT1,missing20,missing20
5,8.99095257891295e-41,0.46831900395909,0.783,0.598,1.2473148512725899e-36,G1,MAP3K7CL,ENSG00000156265,MAP3K7CL,missing11,missing11
6,4.85986679809945e-36,0.321812754879712,0.987,0.964,6.74209320900337e-32,G1,PDLIM7,ENSG00000196923,PDLIM7,ENSMUSG00000021493,Pdlim7
7,2.47962245551921e-32,0.397845248380541,0.445,0.252,3.4399802325418e-28,G1,MIAT,ENSG00000225783,MIAT,missing8,missing8
8,6.33428146991222e-27,0.386613997132782,0.954,0.886,8.78754868320923e-23,G1,PSAP,ENSG00000197746,PSAP,ENSMUSG00000004207,Psap
9,2.4698210120136503e-23,0.329933554914077,0.67,0.519,3.4263826899665404e-19,G1,TPST2,ENSG00000128294,TPST2,ENSMUSG00000029344,Tpst2
10,2.9443574913439597e-22,0.257006712886951,0.995,0.987,4.0847071477414795e-18,G1,CLU,ENSG00000120885,CLU,ENSMUSG00000022037,Clu
11,3.05713280369298e-55,0.603567631315622,1.0,0.988,4.24116033856328e-51,Neural G0,CLU,ENSG00000120885,CLU,ENSMUSG00000022037,Clu
12,6.84615344718585e-22,0.309849188502028,0.977,0.962,9.49766867728094e-18,G1,PRSS23,ENSG00000150687,PRSS23,ENSMUSG00000039405,Prss23
13,3.52836616279019e-08,0.277475993321099,0.991,0.966,0.0004894902377638,S,PRSS23,ENSG00000150687,PRSS23,ENSMUSG00000039405,Prss23
14,1.82264750047016e-09,0.387888668932093,0.99,0.966,2.52855887740225e-05,Late G1,PRSS23,ENSG00000150687,PRSS23,ENSMUSG00000039405,Prss23
15,6.82310972935078e-21,0.343674200092168,0.626,0.484,9.46570012752834e-17,G1,DLG1,ENSG00000075711,DLG1,ENSMUSG00000022770,Dlg1
16,5.112421715277131e-19,0.282786759684124,0.481,0.34,7.0924626456039704e-15,G1,AHNAK2,ENSG00000185567,AHNAK2,ENSMUSG00000118667,Ahnak2
17,1.3054476152368e-17,0.304537928572643,0.587,0.457,1.81104747661801e-13,G1,TM7SF2,ENSG00000149809,TM7SF2,ENSMUSG00000024799,Tm7sf2
18,6.190734047994229e-16,0.252242825899171,0.808,0.73,8.58840534478239e-12,G1,RSU1,ENSG00000148484,RSU1,ENSMUSG00000026727,Rsu1
19,3.10110437017006e-15,0.396121121567693,0.509,0.381,4.3021620927369195e-11,G1,GJB2,ENSG00000165474,GJB2,ENSMUSG00000046352,Gjb2
